"","Country","country_region_code","country_region","sub_region_1","sub_region_2","date.x","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","Movement","Date","Province","DateLockDown","Type","Reference","Lock","Date_1confirmed","Date_1death","TotalCases","TotalDeaths","Google","DaysDuration","DaysLockDownStart","Days_LockDown_1case","Days_LockDown_1death","Democracy","Democraticness","Civil","Opression","Wave","Temperature","TemperatureBfr","TemperatureAftr","TemperatureDif","Humidity","HumidityBfr","HumidityAftr","HumidityDif","Country.Code.x","Indicator_GDP","GDP_pc","Indicator_unemployment","Unemployment","Indicator.Name.Communicable","Death_disease","Indicator.Name.Population1564","Age_1564","Indicator.Name.65up","Age_65up","log_GDP_pc","ï..Country.Name","Indicator.Name","Hospital_b1000","ElectionYear","ElectionWin","Country.Code.y","Country.Code","ROL","isocode","patience","risktaking","posrecip","negrecip","altruism","trust","Region","Population","Area_sq_mi","Pop_Density_sq_mi","Coastline","Net_migration","Infant_mortality_per_1000_births","GDP_pc_2","Literacy","Phones_per_1000","Arable","Crops","Other","Climate","Birthrate","Deathrate","Agriculture","Industry","Service","polity2","date.y","PDI","IDV","MAS","UAI","LTO","X","COL","Death_pc","Confirmed_pc","Log_Death_pc","Google_pc"
"1","Afghanistan","AF","Afghanistan","","","2020-04-26",-47,-27,-23,-48,-37,17,-36.4,2020-04-26,"",2020-03-24,"Full","https://www.thestatesman.com/world/afghan-govt-imposes-lockdown-coronavirus-cases-increase-15-1502870945.html","Yes",2020-02-25,2020-03-24,1827,60,0,5,62,33,5,NA,NA,NA,NA,NA,11.8524590163934,8.5,15.551724137931,7.05172413793103,51.5245901639344,51.8125,51.2068965517241,-0.605603448275865,"AFG","GDP per capita, PPP (constant 2011 international $)",1734.723214,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.11800003,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",36.4,"Population ages 15-64 (% of total population)",54.32489755,"Population ages 65 and above (% of total population)",2.58492694,7.45860314881883,"Afghanistan","Hospital beds (per 1,000 people)",0.5,2017,31.6,3,"AFG",-1.668478,"AFG",-0.20136012,0.12076426,0.2896409,0.25471246,0.16645546,0.3159644,"ASIA (EX. NEAR EAST)         ",31056997,647500,48,0,23.06,163.07,700,36,3.2,12.13,0.22,87.65,1,46.6,20.34,0.38,0.24,0.38,-1,"19/10/2015",NA,NA,NA,NA,NA,NA,NA,1.93193179623902e-06,5.88273231954783e-05,-13.1569901249508,0
"2","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2020-03-08,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania","Yes",2020-03-09,2020-03-12,750,30,2,21,46,20,17,NA,NA,2.778461538,NA,4,12.9672131147541,11.78125,14.2758620689655,2.49461206896552,72.6393442622951,73.34375,71.8620689655172,-1.48168103448276,"ALB","GDP per capita, PPP (constant 2011 international $)",12316.0715,"Unemployment, total (% of total labor force) (modeled ILO estimate)",12.33100033,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.9,"Population ages 15-64 (% of total population)",68.58239036,"Population ages 65 and above (% of total population)",13.74473591,9.41866031448386,"Albania","Hospital beds (per 1,000 people)",2.9,NA,NA,NA,"ALB",-0.392243,NA,NA,NA,NA,NA,NA,NA,"EASTERN EUROPE                     ",3581655,28748,124.6,1.26,-4.93,21.52,4500,86.5,71.2,21.09,4.42,74.49,3,15.11,5.22,0.232,0.188,0.579,9,"01/12/2017",NA,NA,NA,NA,NA,NA,NA,8.37601611545501e-06,0.000209400402886375,-11.6901381603942,5.58401074363667e-07
"3","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2020-03-24,"Full","https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7","Yes",2020-02-26,2020-03-13,3649,437,6,5,62,32,16,8.11769991,5.787822878,2.297966401,7.584826133,6,28.1803278688525,26.96875,29.5172413793103,2.54849137931035,19.9508196721311,21.9375,17.7586206896552,-4.17887931034483,"DZA","GDP per capita, PPP (constant 2011 international $)",13737.35606,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.70400047,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",14.8,"Population ages 15-64 (% of total population)",63.48882487,"Population ages 65 and above (% of total population)",6.362496545,9.52787412076799,"Algeria","Hospital beds (per 1,000 people)",1.9,2017,81.53,50,"DZA",-0.7753089,"DZA",0.059815247,0.39153048,-0.59825534,0.25490081,-0.0099680014,-0.17737062,"NORTHERN AFRICA                    ",32930091,2381740,13.8,0.04,-0.39,31,6000,70,78.1,3.22,0.25,96.53,1,17.14,4.61,0.101,0.6,0.3,2,NA,NA,NA,NA,NA,NA,NA,NA,1.32705372724296e-05,0.000110810504592897,-11.2299642226907,1.82204173076837e-07
"4","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2020-03-16,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Andorra","Yes",2020-03-03,2020-03-27,748,41,0,13,54,26,2,8.900299103,5.370030581,2.197580645,8.939209726,5,7.37704918032787,6.75,8.06896551724138,1.31896551724138,75.4098360655738,73.125,77.9310344827586,4.80603448275862,"AND","GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,"Population ages 15-64 (% of total population)",NA,"Population ages 65 and above (% of total population)",NA,NA,"Andorra","Hospital beds (per 1,000 people)",NA,NA,NA,NA,"AND",1.607738,NA,NA,NA,NA,NA,NA,NA,"WESTERN EUROPE                     ",71201,468,152.1,0,6.6,4.05,19000,100,497.2,2.22,0,97.78,3,8.71,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000575834609064479,0.0105054704287861,-7.45969007554095,0
"5","Angola","AO","Angola","","","2020-04-26",-51,-23,-41,-63,-9,19,-37.4,2020-04-26,"",2020-03-24,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Angola","Yes",2020-03-22,2020-03-30,27,2,NA,5,62,7,-1,NA,NA,NA,NA,NA,23.3770491803279,22.4375,24.4137931034483,1.97629310344828,85.3770491803279,88.46875,81.9655172413793,-6.50323275862068,"AGO","GDP per capita, PPP (constant 2011 international $)",5725.327238,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.886000156,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",63.4,"Population ages 15-64 (% of total population)",50.97470164,"Population ages 65 and above (% of total population)",2.216373648,8.65265498626488,"Angola","Hospital beds (per 1,000 people)",NA,2017,49.57,4,"AGO",-1.048023,NA,NA,NA,NA,NA,NA,NA,"SUB-SAHARAN AFRICA                 ",12127071,1246700,9.7,0.13,0,191.19,1900,42,7.8,2.41,0.24,97.35,NA,45.11,24.2,0.096,0.658,0.246,-2,"01/01/2016",NA,NA,NA,NA,NA,NA,NA,1.64920284543564e-07,2.22642384133811e-06,-15.6178036037662,NA
"6","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2020-03-18,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Anguilla","Yes",2020-03-27,NA,3,0,NA,11,56,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIA",-0.0986837,NA,NA,NA,NA,NA,NA,NA,"LATIN AMER. & CARIB    ",13477,102,132.1,59.8,10.76,21.03,8600,95,460,0,0,100,2,14.17,5.34,0.04,0.18,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.000222601469169697,NA,NA
"7","Antigua & Barbuda","AG","Antigua and Barbuda","","","2020-04-26",-62,-43,-42,-77,-53,NA,-55.4,2020-04-26,"",NA,"None","","No",2020-03-15,2020-04-10,24,3,NA,0,NA,14,-12,NA,NA,NA,NA,NA,25.983606557377,25.9375,26.0344827586207,0.0969827586206904,74.7540983606557,75.40625,74.0344827586207,-1.37176724137932,"ATG","GDP per capita, PPP (constant 2011 international $)",23840.7299,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",11.9,"Population ages 15-64 (% of total population)",69.11908273,"Population ages 65 and above (% of total population)",8.79982552,10.0791507373213,"Antigua and Barbuda","Hospital beds (per 1,000 people)",3.9,NA,NA,NA,"ATG",0.3933258,NA,NA,NA,NA,NA,NA,NA,"LATIN AMER. & CARIB    ",69108,443,156,34.54,-6.15,19.46,11000,89,549.9,18.18,4.55,77.27,2,16.93,5.37,0.038,0.22,0.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.34103142906755e-05,0.000347282514325404,-10.0448134886266,NA
"8","Argentina","AR","Argentina","","","2020-04-26",-88,-52,-95,-72,-47,25,-70.8,2020-04-26,"",2020-03-20,"Full","https://www.bloomberg.com/news/articles/2020-03-20/argentina-orders-exceptional-lockdown-in-bid-to-contain-virus","Yes",2020-03-04,2020-03-08,4114,207,2,9,58,25,21,8.653581943,6.493069307,2.478174603,7.417879418,6,31,30.3125,31.7586206896552,1.44612068965517,35.2131147540984,36.75,33.5172413793103,-3.23275862068966,"ARG","GDP per capita, PPP (constant 2011 international $)",18288.2446,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.788999557,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",15.9,"Population ages 15-64 (% of total population)",64.12127729,"Population ages 65 and above (% of total population)",11.11778888,9.81401376083579,"Argentina","Hospital beds (per 1,000 people)",4.9,2017,34.33,7,"ARG",-0.2400078,"ARG",-0.22930798,0.041503169,0.15967931,-0.14045727,0.027346682,-0.20673333,"LATIN AMER. & CARIB    ",39921833,2766890,14.4,0.18,0.61,15.18,11200,97.1,220.4,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547,9,"01/07/2010",49,46,56,86,NA,NA,54,5.18513265660923e-06,0.000103051380431354,-12.1697151319217,5.00979000638573e-08
"9","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2020-03-24,"Full","https://www.azatutyun.am/a/30506939.html","Yes",2020-03-01,2020-03-27,1932,30,0,5,62,28,2,8.559546314,3.917874396,3.043438078,7.864974619,6,-2.08196721311475,-4.90625,1.03448275862069,5.94073275862069,76,77.46875,74.3793103448276,-3.08943965517241,"ARM","GDP per capita, PPP (constant 2011 international $)",9177.744159,"Unemployment, total (% of total labor force) (modeled ILO estimate)",16.98999977,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.8,"Population ages 15-64 (% of total population)",68.11276042,"Population ages 65 and above (% of total population)",11.25381766,9.12453671910319,"Armenia","Hospital beds (per 1,000 people)",4.1,2017,58.6,8,"ARM",-0.1500262,NA,NA,NA,NA,NA,NA,NA,"C.W. OF IND. STATES ",2976372,29800,99.9,0,-6.47,23.28,3500,98.6,195.7,17.55,2.3,80.15,4,12.07,8.23,0.239,0.343,0.418,7,"05/02/2016",NA,NA,NA,NA,NA,NA,NA,1.00793852381356e-05,0.00064911240933593,-11.5050182854611,0
"10","Aruba","AW","Aruba","","","2020-04-26",-71,-29,-40,-71,-57,NA,-53.6,2020-04-26,"",2020-03-16,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Aruba","Yes",2020-03-13,2020-04-16,100,2,NA,13,54,16,-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABW","GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,"Population ages 15-64 (% of total population)",68.64660589,"Population ages 65 and above (% of total population)",13.55094714,NA,"Aruba","Hospital beds (per 1,000 people)",NA,NA,NA,NA,"ABW",1.297575,NA,NA,NA,NA,NA,NA,NA,"LATIN AMER. & CARIB    ",71891,193,372.5,35.49,0,5.89,28000,97,516.1,10.53,0,89.47,2,11.03,6.68,0.004,0.333,0.663,NA,"01/07/2010",NA,NA,NA,NA,NA,NA,NA,2.78198940062038e-05,0.00139099470031019,-10.4897591814617,NA
