"","Country","country_region_code","sub_region_1","sub_region_2","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","Movement","Date","Province","DateLockDown","Type","Reference","Lock","Date_1confirmed","Date_1death","TotalCases","TotalDeaths","Google","DaysDuration","DaysLockDownStart","Days_LockDown_1case","Days_LockDown_1death","Democracy","Democraticness","Civil","Opression","Wave","Temperature","TemperatureBfr","TemperatureAftr","TemperatureDif","Humidity","HumidityBfr","HumidityAftr","HumidityDif","Country.Code.x","Indicator_GDP","GDP_pc","Indicator_unemployment","Unemployment","Indicator.Name.Communicable","Death_disease","Indicator.Name.Population1564","Age_1564","Indicator.Name.65up","Age_65up","log_GDP_pc","ï..Country.Name","Indicator.Name","Hospital_b1000","ElectionYear","ElectionWin","Country.Code.y","Country.Code","ROL","isocode","patience","risktaking","posrecip","negrecip","altruism","trust","Region","Population","Area_sq_mi","Pop_Density_sq_mi","Coastline","Net_migration","Infant_mortality_per_1000_births","GDP_pc_2","Literacy","Phones_per_1000","Arable","Crops","Other","Climate","Birthrate","Deathrate","Agriculture","Industry","Service","Death_pc","Confirmed_pc","Log_Death_pc","Google_pc","Log_Google_pc"
"1","US","US","","","2020-04-11",-45,-7,-16,-49,-38,14,-31,2020-04-11,"New Hampshire",2020-03-27,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States","Yes",2020-01-21,2020-01-21,1012583,58355,150,2,65,68,68,8.538075695,6.403622852,2.26963232,7.521577726,6,9.07025761124122,7.02678571428571,11.3251231527094,4.29833743842365,74.4054449648712,76.5245535714286,72.067118226601,-4.45743534482759,"USA","GDP per capita, PPP (constant 2011 international $)",55719.11998,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.681999922,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.2,"Population ages 15-64 (% of total population)",65.48330596,"Population ages 65 and above (% of total population)",15.80765406,10.9280786341581,"United States","Hospital beds (per 1,000 people)",2.9,2017,46.1,170,"USA",1.453255,"USA",0.81126213,0.1165868,0.20365003,0.011553643,0.40642887,0.15036696,"NORTHERN AMERICA                   ",298444215,9631420,31,0.21,3.41,6.5,37800,97,898,19.13,0.22,80.65,3,14.14,8.26,0.01,0.204,0.787,0.000195530678991382,0.00339287193085649,-8.5397932650633,5.02606492137903e-07,-14.5034582948135
"2","UK","GB","","","2020-04-11",-81,-32,-37,-70,-57,19,-55.4,2020-04-11,"",2020-03-23,"Full","https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7","Yes",2020-01-31,2020-01-31,161145,21678,103,6,61,58,58,8.616616617,6.412121212,NA,7.459937565,5,15.4285714285714,15.5714285714286,15.2709359605911,-0.300492610837438,78.9461358313817,79.7142857142857,78.0985221674877,-1.61576354679802,"GBR","GDP per capita, PPP (constant 2011 international $)",40522.24661,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.851000071,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",7.7,"Population ages 15-64 (% of total population)",63.92605226,"Population ages 65 and above (% of total population)",18.39586567,10.6096064012975,"United Kingdom","Hospital beds (per 1,000 people)",2.8,NA,NA,NA,"GBR",1.638637,"GBR",0.5350247,0.048684672,-0.038331732,0.024550388,0.028450366,0.23470205,"WESTERN EUROPE                     ",60609153,244820,247.6,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758,0.000357668750130859,0.00265875683826171,-7.93590327886248,1.69941328828667e-06,-13.2852274910085
"3","UAE","AE","","","2020-04-11",-64,-32,-77,-79,-45,24,-59.4,2020-04-11,"",2020-03-24,"Full","https://uk.reuters.com/article/uk-health-coronavirus-saudi/saudi-reports-first-coronavirus-death-uae-gears-up-for-lockdown-idUKKBN21B1YM","Yes",2020-01-27,2020-01-27,11380,89,0,5,62,62,62,NA,NA,NA,NA,NA,26.6229508196721,23.9375,29.5862068965517,5.64870689655172,46.1311475409836,50.46875,41.3448275862069,-9.1239224137931,"ARE","GDP per capita, PPP (constant 2011 international $)",66616.05028,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.34800005,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.5,"Population ages 15-64 (% of total population)",84.31148965,"Population ages 65 and above (% of total population)",1.085000985,11.106700822689,"United Arab Emirates","Hospital beds (per 1,000 people)",1.2,NA,NA,NA,"ARE",0.8064476,"ARE",-0.091318652,0.086515002,0.073196009,0.2219048,0.15418167,0.50710827,"NEAR EAST                          ",2602713,82880,31.4,1.59,1.03,14.51,23200,77.9,475.3,0.6,2.25,97.15,1,18.96,4.4,0.04,0.585,0.375,3.41950879716665e-05,0.00437236068671421,-10.2834285507705,0,NA
"4","Czechia","CZ","","","2020-04-11",-67,4,9,-37,-27,7,-23.6,2020-04-11,"",2020-03-16,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Czech_Republic","Yes",2020-03-02,2020-03-02,7504,227,0,13,54,27,27,NA,NA,NA,NA,NA,7.67213114754098,6.375,9.10344827586207,2.72844827586207,74.0327868852459,75.9375,71.9310344827586,-4.00646551724138,"CZE","GDP per capita, PPP (constant 2011 international $)",33435.50918,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1.932999969,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",5.4,"Population ages 15-64 (% of total population)",64.99251759,"Population ages 65 and above (% of total population)",19.42087689,10.4173737633238,"Czech Republic","Hospital beds (per 1,000 people)",6.5,NA,NA,NA,"CZE",1.04966,"CZE",0.38435131,-0.020464402,-0.30193788,0.29033631,-0.93961686,-0.45068413,"EASTERN EUROPE                     ",10235455,78866,129.8,0,0.97,3.93,15700,99.9,314.3,39.8,3.05,57.15,3,9.02,10.59,0.034,0.393,0.573,2.2177812320019e-05,0.000733137901539306,-10.7164182139085,0,NA
"5","Bosnia","BA","","","2020-04-11",-67,-34,-5,-52,-47,12,-41,2020-04-11,"",2020-03-11,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bosnia_and_Herzegovina","Yes",2020-03-06,2020-03-06,1588,62,0,18,49,23,23,NA,NA,2.832635983,NA,4,8.40983606557377,7.25,9.68965517241379,2.43965517241379,78.3606557377049,78.78125,77.8965517241379,-0.884698275862064,"BIH","GDP per capita, PPP (constant 2011 international $)",12711.83977,"Unemployment, total (% of total labor force) (modeled ILO estimate)",18.42499924,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1.8,"Population ages 15-64 (% of total population)",68.76346488,"Population ages 65 and above (% of total population)",16.47031747,9.45028910351156,"Bosnia and Herzegovina","Hospital beds (per 1,000 people)",3.5,NA,NA,NA,"BIH",-0.2332111,"BIH",-0.24725771,-0.12563907,0.096462861,0.42935491,-0.11530996,-0.19310626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Vietnam","VN","","","2020-04-11",-59,-33,-43,-58,-29,21,-44.4,2020-04-11,"",2020-03-19,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Vietnam","Yes",2020-01-24,2020-01-24,270,0,0,10,57,65,65,9.186013986,7.95014245,1.64010989,9.118715084,5,25.327868852459,23.9375,26.8620689655172,2.92456896551724,84.8688524590164,85.21875,84.4827586206897,-0.735991379310349,"VNM","GDP per capita, PPP (constant 2011 international $)",6608.621686,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.013000011,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",11.5,"Population ages 15-64 (% of total population)",69.55234487,"Population ages 65 and above (% of total population)",7.274978298,8.79613039158663,"Vietnam","Hospital beds (per 1,000 people)",2.6,NA,NA,NA,"VNM",-0.0032823,"VNM",0.11049969,-0.0086816214,-0.26562613,-0.14012927,-0.15891524,0.14363137,"ASIA (EX. NEAR EAST)         ",84402966,329560,256.1,1.05,-0.45,25.95,2500,90.3,187.7,19.97,5.95,74.08,2,16.86,6.22,0.209,0.41,0.381,0,3.19893971498585e-06,NA,0,NA
"7","Taiwan","TW","","","2020-04-11",-18,0,-20,-32,4,6,-13.2,2020-04-11,"",2020-02-02,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Taiwan","Yes",2020-01-21,2020-01-21,429,6,1,56,11,68,68,8.888795987,6.883205456,2.149317406,8.279824561,6,21.7213114754098,20.3125,23.2758620689655,2.96336206896552,69.1967213114754,67.21875,71.3793103448276,4.16056034482759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,56.12,165,"TWN",1.112281,NA,NA,NA,NA,NA,NA,NA,"ASIA (EX. NEAR EAST)         ",23036087,35980,640.3,4.35,0,6.4,23400,96.1,591,24,1,75,2,12.56,6.48,0.018,0.259,0.723,2.60460902062056e-07,1.8622954497437e-05,-15.1608130750709,4.3410150343676e-08,-16.9525725442989
"8","Venezuela","VE","","","2020-04-11",-66,-46,-60,-65,-40,20,-55.4,2020-04-11,"",2020-03-16,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Venezuela","Yes",2020-03-15,2020-03-15,329,10,0,13,54,14,14,NA,NA,2.533834586,NA,4,36.7704918032787,36.125,37.4827586206897,1.35775862068966,47.6885245901639,48.96875,46.2758620689655,-2.69288793103448,"VEN","GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",8.800999641,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",11.3,"Population ages 15-64 (% of total population)",65.0663628,"Population ages 65 and above (% of total population)",7.26698662,NA,"Venezuela, RB","Hospital beds (per 1,000 people)",0.8,2017,50.78,172,"VEN",-2.338622,"VEN",-0.22711751,0.24952252,0.047842871,-0.20394811,0.080399625,0.1149914,"LATIN AMER. & CARIB    ",25730435,912050,28.2,0.31,-0.04,22.2,4800,93.4,140.1,2.95,0.92,96.13,2,18.71,4.92,0.04,0.419,0.541,3.88644809153052e-07,1.27864142211354e-05,-14.760599997456,0,NA
"10","North Macedonia","MK","","","2020-04-11",-95,-95,-79,-93,-82,28,-88.8,2020-04-11,"",2020-03-18,"Full","https://balkaninsight.com/2020/03/19/volunteers-help-north-macedonias-elderly-survive-lockdown/","Yes",2020-02-27,2020-02-27,1421,71,0,11,56,31,31,NA,NA,2.912045889,NA,4,10.655737704918,8.03125,13.551724137931,5.52047413793103,67.7213114754098,69.46875,65.7931034482759,-3.67564655172414,"MKD","GDP per capita, PPP (constant 2011 international $)",13483.45346,"Unemployment, total (% of total labor force) (modeled ILO estimate)",17.75900078,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1.9,"Population ages 15-64 (% of total population)",69.81281899,"Population ages 65 and above (% of total population)",13.67018138,9.50921854304955,"North Macedonia","Hospital beds (per 1,000 people)",4.4,2017,51.69,108,"MKD",-0.2837728,NA,NA,NA,NA,NA,NA,NA,"EASTERN EUROPE                     ",2050554,25333,80.9,0,-1.45,10.09,6700,NA,260,22.26,1.81,75.93,3,12.02,8.77,0.118,0.319,0.563,3.4624789203308e-05,0.00069298345715353,-10.2709406814664,0,NA
"11","Afghanistan","AF","","","2020-04-11",-46,-32,-12,-50,-38,16,-35.6,2020-04-11,"",2020-03-24,"Full","https://www.thestatesman.com/world/afghan-govt-imposes-lockdown-coronavirus-cases-increase-15-1502870945.html","Yes",2020-02-25,2020-02-25,1827,60,0,5,62,33,33,NA,NA,NA,NA,NA,11.8524590163934,8.5,15.551724137931,7.05172413793103,51.5245901639344,51.8125,51.2068965517241,-0.605603448275865,"AFG","GDP per capita, PPP (constant 2011 international $)",1734.723214,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.11800003,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",36.4,"Population ages 15-64 (% of total population)",54.32489755,"Population ages 65 and above (% of total population)",2.58492694,7.45860314881883,"Afghanistan","Hospital beds (per 1,000 people)",0.5,2017,31.6,3,"AFG",-1.668478,"AFG",-0.20136012,0.12076426,0.2896409,0.25471246,0.16645546,0.3159644,"ASIA (EX. NEAR EAST)         ",31056997,647500,48,0,23.06,163.07,700,36,3.2,12.13,0.22,87.65,1,46.6,20.34,0.38,0.24,0.38,1.93193179623902e-06,5.88273231954783e-05,-13.1569901249508,0,NA
"12","Angola","AO","","","2020-04-11",-53,-32,-37,-44,-31,22,-39.4,2020-04-11,"",2020-03-24,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Angola","Yes",2020-03-22,2020-03-22,27,2,NA,5,62,7,7,NA,NA,NA,NA,NA,23.3770491803279,22.4375,24.4137931034483,1.97629310344828,85.3770491803279,88.46875,81.9655172413793,-6.50323275862068,"AGO","GDP per capita, PPP (constant 2011 international $)",5725.327238,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.886000156,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",63.4,"Population ages 15-64 (% of total population)",50.97470164,"Population ages 65 and above (% of total population)",2.216373648,8.65265498626488,"Angola","Hospital beds (per 1,000 people)",NA,2017,49.57,4,"AGO",-1.048023,NA,NA,NA,NA,NA,NA,NA,"SUB-SAHARAN AFRICA                 ",12127071,1246700,9.7,0.13,0,191.19,1900,42,7.8,2.41,0.24,97.35,NA,45.11,24.2,0.096,0.658,0.246,1.64920284543564e-07,2.22642384133811e-06,-15.6178036037662,NA,NA
"13","Antigua and Barbuda","AG","","","2020-04-11",-70,-45,-56,-83,-68,NA,-64.4,2020-04-11,"",NA,"None","","No",2020-03-15,2020-03-15,24,3,NA,0,NA,14,14,NA,NA,NA,NA,NA,25.983606557377,25.9375,26.0344827586207,0.0969827586206904,74.7540983606557,75.40625,74.0344827586207,-1.37176724137932,"ATG","GDP per capita, PPP (constant 2011 international $)",23840.7299,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",11.9,"Population ages 15-64 (% of total population)",69.11908273,"Population ages 65 and above (% of total population)",8.79982552,10.0791507373213,"Antigua and Barbuda","Hospital beds (per 1,000 people)",3.9,NA,NA,NA,"ATG",0.3933258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Argentina","AR","","","2020-04-11",-84,-34,-80,-67,-52,27,-63.4,2020-04-11,"",2020-03-20,"Full","https://www.bloomberg.com/news/articles/2020-03-20/argentina-orders-exceptional-lockdown-in-bid-to-contain-virus","Yes",2020-03-04,2020-03-04,4114,207,2,9,58,25,25,8.653581943,6.493069307,2.478174603,7.417879418,6,31,30.3125,31.7586206896552,1.44612068965517,35.2131147540984,36.75,33.5172413793103,-3.23275862068966,"ARG","GDP per capita, PPP (constant 2011 international $)",18288.2446,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.788999557,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",15.9,"Population ages 15-64 (% of total population)",64.12127729,"Population ages 65 and above (% of total population)",11.11778888,9.81401376083579,"Argentina","Hospital beds (per 1,000 people)",4.9,2017,34.33,7,"ARG",-0.2400078,"ARG",-0.22930798,0.041503169,0.15967931,-0.14045727,0.027346682,-0.20673333,"LATIN AMER. & CARIB    ",39921833,2766890,14.4,0.18,0.61,15.18,11200,97.1,220.4,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547,5.18513265660923e-06,0.000103051380431354,-12.1697151319217,5.00979000638573e-08,-16.8092867446271
"15","Aruba","AW","","","2020-04-11",-71,-18,-52,-76,-64,NA,-56.2,2020-04-11,"",2020-03-16,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Aruba","Yes",2020-03-13,2020-03-13,100,2,NA,13,54,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABW","GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,"Population ages 15-64 (% of total population)",68.64660589,"Population ages 65 and above (% of total population)",13.55094714,NA,"Aruba","Hospital beds (per 1,000 people)",NA,NA,NA,NA,"ABW",1.297575,NA,NA,NA,NA,NA,NA,NA,"LATIN AMER. & CARIB    ",71891,193,372.5,35.49,0,5.89,28000,97,516.1,10.53,0,89.47,2,11.03,6.68,0.004,0.333,0.663,2.78198940062038e-05,0.00139099470031019,-10.4897591814617,NA,NA
"16","Australia","AU","","","2020-04-11",-40,-2,-51,-63,-41,18,-39.4,2020-04-11,"Queensland",NA,"None","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia","No",2020-01-25,2020-01-25,6738,88,6,0,NA,64,64,9.112033195,7.004163775,2.133242692,7.700908456,6,24.0947176684882,24.7951388888889,23.3218390804598,-1.47329980842912,66.4845173041894,66.7118055555556,66.2337164750958,-0.478089080459768,"AUS","GDP per capita, PPP (constant 2011 international $)",45377.75514,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.268000126,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.6,"Population ages 15-64 (% of total population)",65.15290773,"Population ages 65 and above (% of total population)",15.65647523,10.7227772890627,"Australia","Hospital beds (per 1,000 people)",NA,NA,NA,NA,"AUS",1.715279,"AUS",0.65700376,0.13713655,0.069660023,0.022189751,0.15533145,0.29897258,"OCEANIA                            ",20264082,7686850,2.6,0.34,3.98,4.69,29000,100,565.5,6.55,0.04,93.41,1,12.14,7.51,0.038,0.262,0.7,4.34265909504314e-06,0.000332509511163644,-12.3470237027623,2.96090392843851e-07,-15.0326010480125
"17","Austria","AT","","","2020-04-11",-81,-27,-20,-62,-45,15,-47,2020-04-11,"",2020-03-16,"Full","https://www.reuters.com/article/us-health-coronavirus-austria/austria-close-to-standstill-starts-biggest-repatriation-effort-ever-idUSKBN21427X","Yes",2020-02-26,2020-02-26,15314,569,4,13,54,32,32,NA,NA,NA,NA,NA,5.95081967213115,4.9375,7.06896551724138,2.13146551724138,82.2295081967213,81.1875,83.3793103448276,2.19181034482759,"AUT","GDP per capita, PPP (constant 2011 international $)",46260.38238,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.673999786,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.6,"Population ages 15-64 (% of total population)",66.70048591,"Population ages 65 and above (% of total population)",19.00156646,10.7420412016397,"Austria","Hospital beds (per 1,000 people)",7.6,NA,NA,NA,"AUT",1.875834,"AUT",0.60828501,-0.061829153,0.16104659,-0.055415452,-0.03536313,0.15462811,"WESTERN EUROPE                     ",8192880,83870,97.7,0,2,4.66,30000,98,452.2,16.91,0.86,82.23,3,8.74,9.76,0.018,0.304,0.678,6.94505473044888e-05,0.00186918397437775,-9.57489560824078,4.88228803546494e-07,-14.5324816812472
