country,isocode,patience,risktaking,posrecip,negrecip,altruism,trust
Afghanistan,AFG,-.20136012,.12076426,.2896409,.25471246,.16645546,.3159644
Algeria,DZA,.059815247,.39153048,-.59825534,.25490081,-.0099680014,-.17737062
Argentina,ARG,-.22930798,.041503169,.15967931,-.14045727,.027346682,-.20673333
Australia,AUS,.65700376,.13713655,.069660023,.022189751,.15533145,.29897258
Austria,AUT,.60828501,-.061829153,.16104659,-.055415452,-.03536313,.15462811
Bangladesh,BGD,.081136711,-.19806775,.15436757,.11328817,.90646327,-.17336532
Bolivia,BOL,.071331106,.10303829,.10791961,-.0037352182,-.0051868833,-.16032963
Bosnia Herzegovina,BIH,-.24725771,-.12563907,.096462861,.42935491,-.11530996,-.19310626
Botswana,BWA,.23399034,.69737917,-.2586675,-.17272221,-.14206204,-.33846158
Brazil,BRA,-.26004019,-.25059679,.35123819,-.20162958,.46435976,-.0026891388
Cambodia,KHM,-.11989903,-.40463993,.17168301,-.062051568,-.21615699,-.079135038
Cameroon,CMR,-.42749417,-.53505927,.15297563,-.3245351,.14826119,-.53091615
Canada,CAN,.71847945,.18354815,.1967963,.022899142,.22933844,.24527504
Chile,CHL,-.15540831,.1253722,.024950547,-.12846585,-.10583536,-.083214097
China,CHN,.39810467,-.019810122,.47933719,.025847053,.50482512,.55280578
Colombia,COL,-.34593233,-.045174524,.19964258,-.30920869,.095873602,.0055465335
Costa Rica,CRI,-.16306733,.0016722156,.14475521,-.43378291,.41820866,-.14910293
Croatia,HRV,-.093713462,.068436384,.18859911,.73890787,-.070946634,.10511626
Czech Republic,CZE,.38435131,-.020464402,-.30193788,.29033631,-.93961686,-.45068413
Egypt,EGY,-.38319451,-.28089619,.5699845,.034835815,.63414615,.60902089
Estonia,EST,.025314417,-.29543343,-.49283144,-.22173999,-.56668901,.086126119
Finland,FIN,.59955418,-.28276014,.088596597,-.13623562,-.25009719,.099907011
France,FRA,.35687107,-.030104645,-.12234953,.52805352,-.174711,-.16548221
Georgia,GEO,-.48542792,-.08132492,.56275272,-.25436422,.62781996,-.20484574
Germany,DEU,.62439817,-.044485882,-.079865031,-.29426524,-.051002067,-.11882253
Ghana,GHA,.084618963,.6184504,-.22070853,-.074184068,.11105221,-.19801778
Greece,GRC,-.3600854,-.15707357,-.043773349,.42932299,-.17281643,-.35150549
Guatemala,GTM,-.25725538,-.21859027,-.064931743,-.48931202,-.13400403,-.36296293
Haiti,HTI,-.37565595,.019328011,-.69851607,.23038714,-.52285433,-.15751432
Hungary,HUN,-.43091628,-.49845642,-.065830164,-.16624628,-.59088129,.53216553
India,IND,-.10873283,-.2752474,-.45382959,.071198434,-.26762176,-.20398138
