"","country","date_start","index_median","Movement","DateLockDown","total_cases","total_deaths","mandatory.national.lockdown","voluntary.national.lockdown","mandatory.national.curfew"
"1","Afghanistan","2020-01-30",43.2309810901031,NA,"24/03/2020",0,0,FALSE,FALSE,FALSE
"2","Afghanistan","2020-02-12",43.6100588732474,NA,"24/03/2020",0,0,FALSE,FALSE,FALSE
"3","Afghanistan","2020-02-23",44.4897048102912,4.6,"24/03/2020",0,0,FALSE,FALSE,FALSE
"4","Afghanistan","2020-02-27",44.7866295530461,2,"24/03/2020",1,0,FALSE,FALSE,FALSE
"5","Afghanistan","2020-03-01",45.4373648836676,6.8,"24/03/2020",1,0,FALSE,FALSE,FALSE
"6","Afghanistan","2020-03-09",47.2699200275738,-12,"24/03/2020",NA,NA,FALSE,FALSE,FALSE
"7","Afghanistan","2020-03-11",47.7221771870402,1.2,"24/03/2020",7,0,FALSE,FALSE,FALSE
"8","Afghanistan","2020-03-12",47.8959229833183,0.4,"24/03/2020",NA,NA,FALSE,FALSE,FALSE
"9","Afghanistan","2020-03-14",48.3563449717402,4.2,"24/03/2020",NA,NA,FALSE,FALSE,FALSE
"10","Afghanistan","2020-03-18",48.4717585637347,1,"24/03/2020",22,0,FALSE,FALSE,FALSE
"11","Afghanistan","2020-03-19",48.4899893024842,-0.6,"24/03/2020",22,0,FALSE,FALSE,FALSE
"12","Afghanistan","2020-03-20",48.4855544385597,-6.6,"24/03/2020",22,0,FALSE,FALSE,FALSE
"13","Afghanistan","2020-03-22",48.4746537873821,-5,"24/03/2020",24,0,FALSE,FALSE,FALSE
"14","Afghanistan","2020-03-23",48.4861421723303,-4.8,"24/03/2020",34,0,FALSE,FALSE,FALSE
"15","Afghanistan","2020-03-24",48.4813626520384,-7.8,"24/03/2020",40,1,FALSE,FALSE,FALSE
"16","Afghanistan","2020-03-25",48.4810226768664,-11,"24/03/2020",42,1,FALSE,FALSE,FALSE
"17","Afghanistan","2020-03-26",48.5033738313902,-11,"24/03/2020",75,1,FALSE,FALSE,FALSE
"18","Afghanistan","2020-03-28",48.4820693635004,-24.4,"24/03/2020",91,2,FALSE,FALSE,FALSE
"19","Afghanistan","2020-03-29",48.4210496911834,-27.8,"24/03/2020",106,3,FALSE,FALSE,FALSE
"20","Afghanistan","2020-04-01",48.5269961923868,-30.4,"24/03/2020",166,4,FALSE,FALSE,FALSE
"21","Afghanistan","2020-04-11",48.558298651225,-35.6,"24/03/2020",521,15,NA,NA,FALSE
"22","Afghanistan","2020-04-14",48.4228699176633,-37.6,"24/03/2020",665,21,FALSE,FALSE,FALSE
