Country,City1,City2
 Afghanistan,Kabul,Kandahar
 Akrotiri and Dhekelia (UK),Episkopi Cantonment,Ayios Nikolaos
 Albania,Tirana,Durres
 Algeria,Algiers,Oran
 American Samoa (US),Tafuna,Nu'uuli
 Andorra,Andorra la Vella,Escaldes-Engordany
 Angola,Luanda,Huambo
 Anguilla (UK),North Side,The Valley
 Antigua and Barbuda,St. John's,All Saints
 Argentina,Buenos Aires,Cordoba
 Armenia,Yerevan,Gyumri
 Artsakh,Stepanakert,Shusha
 Aruba (Netherlands),Oranjestad,Sint Nicolaas
 Australia,Sydney,Melbourne
 Austria,Vienna,Graz
 Azerbaijan,Baku,Ganja
 Bahamas,Nassau,Freeport
 Bahrain,Manama,Riffa
 Bangladesh,Dhaka,Chittagong
 Barbados,Bridgetown,Speightstown
 Belarus,Minsk,Gomel
 Belgium,Brussels,Antwerp
 Belize,Belize City,San Ignacio
 Benin,Cotonou,Abomey-Calavi
 Bermuda (UK),St. George's,Hamilton
 Bhutan,Thimphu,Phuntsholing
 Bolivia,Santa Cruz de la Sierra,El Alto
 Bosnia and Herzegovina,Sarajevo,Banja Luka
 Botswana,Gaborone,Francistown
 Brazil,São Paulo,Rio de Janeiro
 Brunei,Bandar Seri Begawan,Kuala Belait
 Bulgaria,Sofia,Plovdiv
 Burkina Faso,Ouagadougou,Bobo-Dioulasso
 Burundi,Bujumbura,Muyinga
 Cambodia,Phnom Penh,Siem Reap
 Cameroon,Douala,Yaounde
 Canada,Toronto,Montreal
 Cape Verde,Praia,Mindelo
 Cayman Islands (UK),George Town,Bodden Town
 Central African Republic,Bangui,Bimbo
 Chad,N'Djamena,Moundou
 Chile,Santiago,Puente Alto
" China, People's Republic of",Shanghai,Beijing
 Christmas Island (Australia),Flying Fish Cove,Poon Saan
 Cocos (Keeling) Islands (Australia),Bantam,West Island
 Colombia,Bogotá,Medellin
 Comoros,Moroni,Mutsamudu
" Congo, Democratic Republic of the",Kinshasa,Lubumbashi
" Congo, Republic of the",Brazzaville,Pointe-Noire
 Cook Islands (New Zealand),Avarua,Amuri
 Costa Rica,San Jose,Alajuela
 Cote d'Ivoire,Abidjan,Bouake
 Croatia,Zagreb,Split
 Cuba,Havana,Santiago de Cuba
 Curaçao (Netherlands),Willemstad,Sint Michiel
 Cyprus,Nicosia,Limassol
 Czech Republic,Prague,Brno
 Denmark,Copenhagen,Aarhus
 Djibouti,Djibouti,Ali Sabieh
 Dominica,Roseau,Portsmouth
 Dominican Republic,Santo Domingo,Santiago de los Caballeros
 East Timor,Dili,Dare
 Ecuador,Quito,Guayaquil
 Egypt,Cairo,Alexandria
 El Salvador,San Salvador,Santa Ana
 Equatorial Guinea,Bata,Malabo
 Eritrea,Asmara,Keren
 Estonia,Tallinn,Tartu
 Eswatini,Manzini,Mbabane
 Ethiopia,Addis Ababa,Dire Dawa
 Falkland Islands (UK),Stanley,Mount Pleasant
 Faroe Islands (Denmark),Torshavn,Klaksvik
 Fiji,Nasinu,Suva
 Finland,Helsinki,Espoo
 France,Paris,Marseille
,,Lyon
 French Guiana (France),Cayenne,Saint-Laurent-du-Maroni
 French Polynesia (France),Papeete,Faaa
 Gabon,Libreville,Port-Gentil
" Gambia, The",Serekunda,Brikama
 Georgia,Tbilisi,Batumi
 Germany,Berlin,Hamburg
,Rhine-Ruhr,Berlin
 Ghana,Accra,Kumasi
 Gibraltar (UK),Gibraltar,
 Greece,Athens,Thessaloniki
 Greenland (Denmark),Nuuk,Sisimiut
 Grenada,St. George's,Gouyave
 Guam (US),Dededo,Yigo
 Guatemala,Guatemala City,Quetzaltenango
 Guernsey (UK),Saint Peter Port,Vale
 Guinea,Conakry,Nzerekore
 Guinea-Bissau,Bissau,Gabú
 Guyana,Georgetown,Linden
 Haiti,Port-au-Prince,Gonaïves
 Honduras,Tegucigalpa,San Pedro Sula
 Hungary,Budapest,Debrecen
 Iceland,Reykjavik,Kopavogur
,,Akureyri
 India,Mumbai,Delhi
 Indonesia,Jakarta,
,Surabaya,
,Medan,
 Iran,Tehran,Mashhad
,,
 Iraq,Baghdad,Basra
 Ireland,Dublin,Cork
 Isle of Man (UK),Douglas,Ramsey
 Israel,Jerusalem,Tel Aviv
,,
 Italy,Rome,Milan
,,
 Jamaica,Kingston,Spanish Town
 Japan,Tokyo,Yokohama
,,Osaka
 Jersey (UK),Saint Helier,Saint Saviour
 Jordan,Amman,Zarqa
 Kazakhstan,Almaty,Nur-Sultan
