"","Country","City","Move","Location","lon","lat","type","loctype","address","north","south","east","west"
"1","Angola","Benguela Province",-15.636231884058,"Benguela Province, Angola",13.914399,-12.8003744,"administrative_area_level_1","approximate","benguela province, angola",-11.7631431,-13.875305,15.116545,12.520972
"2","Angola","Cabinda Province",-10.4047619047619,"Cabinda Province, Angola",12.3463875,-5.0248749,"administrative_area_level_1","approximate","cabinda province, angola",-4.3725911,-5.793473,13.1096781,12.00986
"3","Angola","Huambo Province",-4.31521739130435,"Huambo Province, Angola",15.5943388,-12.5268221,"administrative_area_level_1","approximate","huambo province, angola",-11.4346771,-13.7673981,16.5881119,14.7993901
"4","Angola","Huila Province",-10.4021739130435,"Huila Province, Angola",14.6587821,-14.9280553,"administrative_area_level_1","approximate","huila province, angola",-13.3329061,-16.3725168,16.748421,13.2126438
"5","Angola","Luanda Province",-28.8830769230769,"Luanda Province, Angola",13.2663479,-9.035088,"administrative_area_level_1","approximate","luanda province, angola",-8.6280871,-9.345417,13.634741,12.992361
"6","Antigua & Barbuda","Saint George",-52.400826446281,"Saint George, Antigua & Barbuda",-61.7882743,17.1078489,"administrative_area_level_1","approximate","saint george, antigua and barbuda",17.1695731,17.0828211,-61.7455492,-61.8104881
"7","Antigua & Barbuda","Saint John",-28.5980769230769,"Saint John, Antigua & Barbuda",-61.846772,17.1274104,"locality","approximate","st john's, antigua and barbuda",17.1435492,17.107476,-61.8277501,-61.8620396
"8","Antigua & Barbuda","Saint Mary",-48.3382352941176,"Saint Mary, Antigua & Barbuda",-61.8760283,17.0512064,"administrative_area_level_1","approximate","saint mary, antigua and barbuda",17.105279,17.003604,-61.805473,-61.905935
"9","Antigua & Barbuda","Saint Paul",-47.6944444444444,"Saint Paul, Antigua & Barbuda",-61.7824256,17.0371588,"administrative_area_level_1","approximate","saint paul, antigua and barbuda",17.065935,16.99795,-61.7299903,-61.8129311
"10","Argentina","Buenos Aires",-49.0261538461538,"Buenos Aires, Argentina",-58.3815591,-34.6036844,"locality","approximate","buenos aires, argentina",-34.5265464,-34.7051011,-58.3351447,-58.5314522
"11","Argentina","Buenos Aires Province",-46.7723076923077,"Buenos Aires Province, Argentina",-59.8410697,-37.2017285,"administrative_area_level_1","approximate","buenos aires province, argentina",-33.263335,-41.0404548,-56.6647663,-63.3926469
"12","Argentina","Catamarca Province",-31.2584615384615,"Catamarca Province, Argentina",-65.7877209,-28.4715877,"administrative_area_level_1","approximate","catamarca province, argentina",-25.154159,-30.1172541,-64.8243495,-69.0860158
"13","Argentina","Chaco Province",-45.9861538461538,"Chaco Province, Argentina",-59.0243784,-27.4257175,"administrative_area_level_1","approximate","chaco province, argentina",-24.087868,-27.9955354,-58.3636267,-63.4273588
"14","Argentina","Chubut Province",-48.3907692307692,"Chubut Province, Argentina",-65.1114818,-43.2934246,"administrative_area_level_1","approximate","chubut province, argentina",-41.9916218,-46.0022302,-63.5832577,-72.1893076
"15","Argentina","Cordoba",-48.5892307692308,"Cordoba, Argentina",-64.1887761,-31.4200833,"locality","approximate","córdoba, cordoba, argentina",-31.306461,-31.4924454,-64.0690993,-64.3195887
"16","Argentina","Corrientes",-43.4830769230769,"Corrientes, Argentina",-58.8306349,-27.4692131,"locality","approximate","corrientes, argentina",-27.4384037,-27.5340996,-58.721333,-58.8634403
"17","Argentina","Entre Rios",-43.8307692307692,"Entre Rios, Argentina",-60.4956461,-31.7746654,"administrative_area_level_1","approximate","entre rios, argentina",-30.1601613,-34.0391275,-57.8119114,-60.7680611
"18","Argentina","Formosa Province",-37.7792307692308,"Formosa Province, Argentina",-58.2242806,-26.1894804,"administrative_area_level_1","approximate","formosa province, argentina",-22.4644304,-26.8712091,-57.5591251,-62.3473138
"19","Argentina","Jujuy",-39.82,"Jujuy, Argentina",-65.2994767,-24.1857864,"locality","approximate","jujuy, argentina",-24.1516448,-24.2590345,-65.2337514,-65.3773592
"20","Argentina","La Pampa",-38.4830769230769,"La Pampa, Argentina",-64.2839209,-36.6147573,"administrative_area_level_1","approximate","la pampa, argentina",-34.9924309,-39.3295135,-63.3828697,-68.2954501
"21","Argentina","La Rioja Province",-39.8061538461538,"La Rioja Province, Argentina",-66.8559932,-29.4193793,"administrative_area_level_1","approximate","la rioja province, argentina",-27.7056245,-31.9974404,-65.4134405,-69.5901342
"22","Argentina","Mendoza Province",-38.0769230769231,"Mendoza Province, Argentina",-68.8526867,-32.8896247,"administrative_area_level_1","approximate","mendoza province, argentina",-31.9628078,-37.5789663,-66.5019948,-70.5836901
"23","Argentina","Misiones Province",-43.9138461538462,"Misiones Province, Argentina",-55.9467076,-27.4269255,"administrative_area_level_1","approximate","misiones province, argentina",-25.4954898,-28.1633595,-53.6412206,-56.0595044
"24","Argentina","Neuquen",-46.0969230769231,"Neuquen, Argentina",-68.0591888,-38.9516784,"locality","approximate","neuquen, argentina",-38.8932801,-38.9891891,-68.0081482,-68.2226534
"25","Argentina","Rio Negro",-55.4738461538462,"Rio Negro, Argentina",-63.0266339,-40.8261434,"administrative_area_level_1","approximate","río negro, argentina",-37.5789663,-42.0024984,-62.7873146,-71.9029079
"26","Argentina","Salta Province",-35.5815384615385,"Salta Province, Argentina",-65.4150367,-24.7997688,"administrative_area_level_1","approximate","salta province, argentina",-21.9987495,-26.3878331,-62.3441087,-68.5469763
"27","Argentina","San Juan Province",-39.0215384615385,"San Juan Province, Argentina",-68.5360403,-31.5287127,"administrative_area_level_1","approximate","san juan province, argentina",-28.37774,-32.6268692,-66.7151436,-70.57059
"28","Argentina","San Luis Province",-47.7030769230769,"San Luis Province, Argentina",-66.3294948,-33.2962042,"administrative_area_level_1","approximate","san luis province, argentina",-31.862938,-35.9941063,-64.8808183,-67.3872644
"29","Argentina","Santa Cruz Province",-43.3584615384615,"Santa Cruz Province, Argentina",-69.2474353,-51.6352821,"administrative_area_level_1","approximate","santa cruz province, argentina",-45.9915403,-52.3967385,-65.7171603,-73.553393
"30","Argentina","Santa Fe Province",-37.2953846153846,"Santa Fe Province, Argentina",-60.7238016,-31.5855109,"administrative_area_level_1","approximate","santa fe province, argentina",-27.9891993,-34.4156647,-58.8440059,-62.9360244
"31","Argentina","Santiago del Estero Province",-41.2323076923077,"Santiago del Estero Province, Argentina",-64.264167,-27.7833574,"locality","approximate","santiago del estero, santiago del estero province, argentina",-27.7436335,-27.8597961,-64.2213244,-64.3127722
"32","Argentina","Tierra del Fuego Province",-47.5584615384615,"Tierra del Fuego Province, Argentina",-68.3242061,-54.8053998,"administrative_area_level_1","approximate","tierra del fuego province, argentina",-52.658766,-55.0577157,-65.1153831,-68.6118639
"33","Argentina","Tucuman",-39.2215384615385,"Tucuman, Argentina",-65.2192903,-26.8221127,"administrative_area_level_1","approximate","tucumán, argentina",-26.0584289,-27.9971035,-64.4780028,-66.1620883
"34","Australia","Australian Capital Territory",-11.7,"Australian Capital Territory, Australia",149.0123679,-35.4734679,"administrative_area_level_1","approximate","australian capital territory, australia",-35.124517,-35.9207621,149.3992845,148.7626752
"35","Australia","New South Wales",-20.0446153846154,"New South Wales, Australia",146.921099,-31.2532183,"administrative_area_level_1","approximate","new south wales, australia",-28.15702,-37.5052801,159.1054441,140.9992793
"36","Australia","Northern Territory",-3.52615384615385,"Northern Territory, Australia",132.5509603,-19.4914108,"administrative_area_level_1","approximate","northern territory, australia",-10.809854,-25.9986183,138.0011997,129.0004761
"37","Australia","Queensland",-17.5892307692308,"Queensland, Australia",142.7027956,-20.9175738,"administrative_area_level_1","approximate","queensland, australia",-9.210063,-29.1778976,153.6497891,137.9959572
"38","Australia","South Australia",-14.8938461538462,"South Australia, Australia",136.2091547,-30.0002315,"administrative_area_level_1","approximate","south australia, australia",-25.9963765,-38.1345913,141.0029556,129.00134
"39","Australia","Tasmania",-28.1446153846154,"Tasmania, Australia",145.9706647,-41.4545196,"administrative_area_level_1","approximate","tasmania, australia",-39.1296041,-44.0557135,148.616675,143.708067
"40","Australia","Victoria",-24.2092307692308,"Victoria, Australia",144.7851531,-37.4713077,"administrative_area_level_1","approximate","victoria, australia",-33.9806474,-39.1831607,150.0169685,140.9616819
"41","Australia","Western Australia",-16.3423076923077,"Western Australia, Australia",121.6283098,-27.6728168,"administrative_area_level_1","approximate","western australia, australia",-13.6105008,-35.2132016,129.0018535,112.7604507
"42","Austria","Burgenland",-8.51910256410256,"Burgenland, Austria",16.2688797,47.1537165,"administrative_area_level_1","approximate","burgenland, austria",48.1185989,46.8306517,17.1606861,15.9965398
"43","Austria","Carinthia",-20.4707692307692,"Carinthia, Austria",14.1805882,46.722203,"administrative_area_level_1","approximate","carinthia, austria",47.13131,46.3723,15.0651401,12.6563901
"44","Austria","Lower Austria",-12.6057692307692,"Lower Austria, Austria",15.8049558,48.108077,"administrative_area_level_1","approximate","lower austria, austria",49.0206081,47.42198,17.0684643,14.4521301
"45","Austria","Salzburg",-35.7953846153846,"Salzburg, Austria",13.05501,47.80949,"locality","approximate","salzburg, austria",47.85431,47.75131,13.1268799,12.9859801
"46","Austria","Styria",-22.6523076923077,"Styria, Austria",14.4699827,47.3593442,"administrative_area_level_1","approximate","styria, austria",47.82789,46.6119886,16.17014,13.56417
"47","Austria","Tyrol",-37.2892307692308,"Tyrol, Austria",11.601487,47.2537414,"administrative_area_level_1","approximate","tyrol, austria",47.7430345,46.6515599,12.9662801,10.0980701
"48","Austria","Upper Austria",-14.0169230769231,"Upper Austria, Austria",13.9723665,48.025854,"administrative_area_level_1","approximate","upper austria, austria",48.7725701,47.46098,14.99129,12.749244
"49","Austria","Vienna",-23.6884615384615,"Vienna, Austria",16.3738189,48.2081743,"locality","approximate","vienna, austria",48.3230999,48.1182699,16.5774999,16.18262
"50","Austria","Vorarlberg",-28.0261538461538,"Vorarlberg, Austria",9.9797373,47.2497427,"administrative_area_level_1","approximate","vorarlberg, austria",47.5961058,46.84085,10.23689,9.5307834
"51","Bahamas","Freeport",-32.5621794871795,"Freeport, Bahamas",-78.6429019,26.5333159,"locality","approximate","freeport, the bahamas",26.5800838,26.4892706,-78.5565161,-78.7320184
"52","Bahamas","New Providence",-38.4707692307692,"New Providence, Bahamas",-77.3503559,25.0443256,"administrative_area_level_1","approximate","new providence, the bahamas",25.1255099,24.976522,-77.084884,-77.5568399
"53","Bahamas","West Grand Bahama",-22.2307692307692,"West Grand Bahama, Bahamas",-78.52065,26.659447,"administrative_area_level_1","approximate","west grand bahama, the bahamas",26.924385,26.4941138,-78.407715,-78.9959109
"54","Barbados","Christ Church",-42.4588461538462,"Christ Church, Barbados",-59.5261392,13.0728209,"administrative_area_level_1","approximate","christ church, barbados",13.125974,13.0446319,-59.471954,-59.6110459
"55","Barbados","Saint George",-28.9820512820513,"Saint George, Barbados",-59.5461125,13.1401378,"administrative_area_level_1","approximate","saint george, barbados",13.1815211,13.099258,-59.50622,-59.5823159
"56","Barbados","Saint James",-38.5376344086022,"Saint James, Barbados",-59.6304714,13.1842181,"administrative_area_level_1","approximate","saint james, barbados",13.237683,13.1381931,-59.598465,-59.643616
"57","Barbados","Saint John",-53.2727272727273,"Saint John, Barbados",-59.5033496,13.1824334,"administrative_area_level_1","approximate","saint john, barbados",13.210594,13.1376361,-59.458317,-59.540185
