Category: All categories

Country,when will quarantine end: (6/22/19 - 6/22/20)
United States,100
Canada,72
Philippines,40
Qatar,25
United Arab Emirates,22
Ireland,21
Lebanon,20
United Kingdom,18
Lithuania,15
Australia,12
Pakistan,9
Hong Kong,7
Greece,6
New Zealand,6
Saudi Arabia,5
Bangladesh,5
South Africa,5
Egypt,3
Nigeria,3
Singapore,3
Malaysia,3
Romania,3
India,2
Mexico,2
Spain,1
Netherlands,1
Ukraine,1
Italy,1
Turkey,1
Poland,1
Germany,1
Russia,1
France,1
Indonesia,<1
Brazil,<1
Cayman Islands,
Aruba,
Rwanda,
Guam,
Jersey,
Bahamas,
Maldives,
Barbados,
Haiti,
Malta,
Macao,
Iceland,
Cyprus,
Trinidad & Tobago,
Kosovo,
Panama,
Cameroon,
Uganda,
Senegal,
Zambia,
Bahrain,
Luxembourg,
Yemen,
Albania,
Ethiopia,
Puerto Rico,
North Macedonia,
St. Helena,
Armenia,
Georgia,
Cambodia,
Sri Lanka,
Oman,
Kenya,
Nepal,
Bosnia & Herzegovina,
Uzbekistan,
Jordan,
Croatia,
Bulgaria,
Uruguay,
Guatemala,
Morocco,
Dominican Republic,
Denmark,
Serbia,
Algeria,
Israel,
Hungary,
Venezuela,
Norway,
Sweden,
Finland,
Czechia,
Portugal,
Switzerland,
Peru,
Belgium,
South Korea,
Taiwan,
Japan,
Colombia,
Iran,
Thailand,
Argentina,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Andorra,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Austria,
Azerbaijan,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Bolivia,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Chile,
China,
Côte d’Ivoire,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Costa Rica,
Cuba,
Curaçao,
Christmas Island,
Djibouti,
Dominica,
Ecuador,
Eritrea,
Western Sahara,
Estonia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
French Guiana,
Guyana,
Heard & McDonald Islands,
Honduras,
Isle of Man,
British Indian Ocean Territory,
Iraq,
Jamaica,
Kazakhstan,
Kyrgyzstan,
Kiribati,
St. Kitts & Nevis,
Kuwait,
Laos,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Lesotho,
Latvia,
St. Martin,
Monaco,
Moldova,
Madagascar,
Marshall Islands,
Mali,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nicaragua,
Niue,
Nauru,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
Paraguay,
Palestine,
French Polynesia,
Réunion,
Sudan,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovakia,
Slovenia,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tunisia,
Tuvalu,
Tanzania,
U.S. Outlying Islands,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vietnam,
Vanuatu,
Wallis & Futuna,
Samoa,
Zimbabwe,
