Entity,Tightness,Individualism,Median_Age,Population.density,GDP.capita,Government.efficiency,Gini,Underreporting,Underreporting_uncertain,Authoritarian,Continent,Tests_Per_CaseOWD,Government.effectiveness index,TL33,RelationalMobility,Healthcare,Powerdistance,CompletedTightness,ColdStress,HeatStress,RainStress,EIU17GE,GCS17GE,GWP17GE,IPD161718GE,PRS17GE,WMO17GE,WCY17GE,TLAlpha
Algeria,0.694447099,,28.1,18,3980.12,3.274635201,27.6,6.8,5.9,1,Africa,,-0.44,,,1.207,,1.742730328,0.084,0.094,0.85,0.25,0.41,0.52,0.541666667,0.5,0.61,,0.51
Argenti,-0.531806346,46,31.7,16,9887.79,2.336128838,42.4,19,19,,South America,10.022,0.03,,,3.907,49,-1.497120258,0.508,-0.038,-1.714,0.5,0.38,0.52,0.5,0.75,0.67,0.4,0.64
Armenia,0.205163972,,35.1,100,4527.59,3.401135002,32.4,15.18,75,,Europe,,-0.02,,,2.803,,0.486905515,1.546,-0.433,0.096,0.375,0.55,0.51,0.5,0.25,0.61,,0.57
Australia,-0.053445728,90,38.7,3,53825.16,4.25568066,34.7,100,37,,Australia,57.883,1.6,4.4,0.138,3.496,38,-0.699687469,0.931,-0.038,-2.804,1,0.65,0.6,0.958333333,1,0.83,0.47,0.75
Austria,0.210177967,55,44,107,50022.61,4.312938023,30.5,42,28,,Europe,11.016,1.45,6.8,,5.23,11,0.155327768,1.392,-0.697,-1.467,0.75,0.7,0.76,1,1,0.83,0.45,0.68
Bosnia and Herzegovi,-0.431134579,,42.1,64,5741.76,2.53633299,33.1,13,34,,Europe,,-0.62,,,1.886,,-1.173635854,1.161,-0.302,-1.043,0,0.4,0.45,0.958333333,,0.56,,0.62
Botswa,0.86045016,,24.5,,,,,,,,Africa,,,,,0.384,,1.865904363,0.277,1.016,0.85,0.5,0.45,0.53,,0.5,0.78,,0.55
Brazil,-0.376231695,38,32.6,25,8796.91,2.496853694,46.9,11,9.4,,South America,,-0.45,3.5,0.203,1.852,69,-1.020318183,0.277,1.016,0.85,0.375,0.29,0.47,0.625,0.5,0.5,0.24,0.62
Cada,-0.135152584,80,42.2,4,46212.84,4.702926362,34,31,14,,North America,17.604,1.72,,0.175,2.539,39,-0.034231097,2.2,-0.565,-2.29,1,0.73,0.62,0.958333333,1,0.94,0.57,0.72
Chi,0.186152449,20,37.4,148,10098.87,4.006861266,38.6,33,11,1,Asia,,0.48,7.9,,1.812,80,-0.889357486,1.161,-0.038,0.788,0.5,0.59,0.72,0.625,0.5,0.67,0.57,0.61
Chile,-0.339407811,23,34.4,25,15399.24,4.148466375,47.7,89,65,,South America,11.789,1.08,,0.109,1.033,63,0.547209752,0.431,-0.17,0.671,0.75,0.51,0.56,0.833333333,0.75,0.72,0.43,0.73
Colombia,-0.583601985,13,30,45,6508.13,3.039393647,50.8,24,19,,South America,15.868,-0.09,,0.199,1.821,67,-1.912583817,0.084,-2.541,-0.741,0.5,0.39,0.53,0.541666667,0.5,0.56,0.29,0.73
Czech Republic,-0.462699395,58,42.1,136,23213.95,3.681881098,25.9,53,34,,Europe,22.722,0.92,,,3.677,57,-1.051712123,1.7,-0.697,-0.471,0.625,0.62,0.65,0.791666667,0.75,0.83,0.45,0.72
Ecuador,-0.177708163,8,27.7,64,6249.39,2.879376765,45,14,15,,South America,3.432,-0.26,,,1.665,78,-0.498395416,0.354,-1.224,0.279,0.125,0.52,0.73,0.5,0.5,0.44,,0.76
Estonia,-0.469581699,60,42.7,29,23523.6,4.401768271,34.6,100,50,,Europe,25.501,1.19,2.6,-0.024,3.43,40,-1.340948896,2.162,-1.355,-1.611,0.75,0.77,0.64,0.666666667,0.63,0.78,0.45,0.71
Finland,-0.283406106,63,42.5,16,48868.74,5.320377733,26.8,48,24,,Europe,15.936,1.98,,,3.196,33,-0.292051891,2.162,-1.355,-1.611,1,0.89,0.71,1,1,0.83,0.56,0.72
Germany,0.12889995,67,47.1,235,46563.99,4.728817911,31.4,47,21,,Europe,14.346,1.62,7,-0.011,4.191,35,0.048450863,1.431,-0.697,-1.645,0.875,0.76,0.74,1,1,0.83,0.58,0.72
Gha,1.242676502,15,21.1,130,2223.42,3.773055774,42.8,56.79,,,Africa,78.482,-0.21,,,0.096,80,3.491767272,-0.877,0.621,0.429,0.375,0.45,0.5,0.5,0.63,0.61,,0.64
Greece,-0.278680907,35,44.5,79,19974.37,2.762990227,35.8,16,21,,Europe,22.75,0.34,3.9,,6.255,60,-0.877815643,0.161,-0.038,0.428,0.375,0.53,0.43,0.833333333,0.75,0.72,0.25,0.69
Hungary,-0.603726491,80,42.3,104,17463.28,2.902592433,30.9,15,8.2,1,Europe,23.782,0.49,2.9,-0.387,3.093,46,-1.234071992,1.392,-0.565,-1.437,0.5,0.52,0.54,0.708333333,0.75,0.78,0.43,0.6
Iceland,0.040180138,60,36.5,3,67037.34,4.613276837,25.6,48.94,,,Europe,21.736,1.47,6.4,,3.791,30,0.012825229,1.585,-2.673,-1.38,0.75,0.72,0.63,0.708333333,1,0.89,0.57,0.71
India,0.731557362,48,28.1,420,2171.64,3.992122169,35.7,17,22,,Asia,24.008,0.28,11,,0.758,77,1.651604432,-0.3,1.148,0.766,0.375,0.57,0.75,0.166666667,0.75,0.5,0.43,0.62
Indonesia,0.502248457,14,30.2,144,4163.76,3.922269861,38.1,5.3,9.1,,Asia,5.633,0.18,,,0.201,78,1.527219314,-1.031,0.621,0.134,0.375,0.56,0.74,0.291666667,0.5,0.67,0.47,0.62
Iran,0.37609029,41,30.3,51,5506.23,3.145049375,38.8,9.9,12,1,Asia,,-0.43,,,1.491,58,0.734617378,0.892,-0.038,0.524,0.25,0.5,0.56,0.75,0.5,0.61,,0.55
Ireland,-0.182475794,70,20,70,77771.21,4.718019342,31.9,20,17,,Europe,8.514,1.42,,,2.961,28,-0.136597718,1.161,-1.751,-2.185,0.625,0.65,0.68,0.666666667,1,0.89,0.6,0.74
Israel,-0.399564115,54,29.9,417,42823.31,3.748201607,41.4,100,54,,Europe,16.162,1.21,3.1,0.088,3.576,13,-1.162820722,0.2,0.225,0.85,0.75,0.65,0.62,0.875,1,0.89,0.49,0.81
Italy,-0.060344423,76,45.5,201,32946.52,2.201114318,34.7,5.8,5.2,,Europe,6.877,0.41,6.8,,4.021,50,0.155327768,0.392,-0.433,0.269,0.5,0.59,0.47,0.916666667,0.63,0.72,0.32,0.69
Ivory Coast,0.266124358,,20.9,,,,41.7,33.82,77,,Africa,,,,,0.144,,0.579913096,-0.839,0.225,0.436,0.25,,0.39,0.541666667,0,0.56,,0.62
Japan,0.190571687,46,47.3,335,40846.78,4.634031911,32.1,26,33,,Asia,11.714,1.68,8.6,-0.414,2.367,54,0.796589196,0.2,-0.697,-0.174,0.75,0.8,0.64,1,1,0.83,0.57,0.67
Kazakhstan,0.16748056,,30.6,7,9139.11,,26.5,21.36,68,1,Asia,,0.02,,,3.274,,0.810248664,2.046,-0.17,-0.814,0.375,0.49,0.59,0.5,0.5,0.56,0.57,0.54
Kenya,0.529029156,25,19.7,93,1997.55,3.825732816,,43.53,41.8,,Africa,,-0.41,,,0.204,70,1.49138659,-0.108,-1.092,0.495,0.125,0.53,0.56,0.375,0.5,0.5,,0.66
Latvia,-0.039066119,70,43.6,29,18171.65,3.456399357,35.1,70.41,70,,Europe,44.302,1.04,,,3.209,44,-0.113643145,2.162,-1.355,-1.611,0.75,0.57,0.53,1,0.63,0.78,0.39,0.72
Malaysia,0.222572209,26,28.5,98,11136.81,5.096361681,41,46,62,,Asia,17.482,1.08,11.8,-0.39,1.533,100,1.936609511,-0.993,0.884,-0.842,0.75,0.7,0.68,0.625,0.75,0.78,0.58,0.74
Mexico,-0.347769818,30,28.2,66,10118.17,3.109504047,43.4,17,6.8,,North America,5.843,-0.15,7.2,0.359,2.231,81,0.297830307,0.277,-1.355,0.703,0.5,0.42,0.62,0.416666667,0.63,0.56,0.35,0.72
Mozambique,0.531379852,15,17.2,39,484.405,3.148153539,,,,,Africa,,-0.87,,,0.055,85,1.105984418,-0.416,1.938,0.351,0.25,0.22,0.49,0.208333333,0.25,0.5,,0.62
Netherlands,-0.544559055,80,42.6,409,52367.85,4.944898864,28.6,5.9,6.5,,Europe,5.4,1.85,3.3,0.197,3.478,38,-1.091569452,1.315,-1.224,-1.962,0.75,0.85,0.8,1,1,0.89,0.65,0.8
Nigeria,0.543000249,30,18.4,223,2222.01,3.020569217,43,72.25,30.5,,Africa,,-1.02,,,0.395,80,1.199983228,-0.916,1.148,0.578,0.125,0.26,0.58,0.083333333,0.25,0.44,,0.61
Peru,-0.337518933,16,28,26,7046.79,2.80518837,43.8,16,25,,South America,10.617,-0.25,,,1.116,64,-1.051575327,-0.454,-0.697,0.85,0.5,0.32,0.5,0.416666667,0.5,0.61,0.38,0.72
Poland,-0.324655209,60,40.7,121,14901.55,3.199944642,32.1,30,20,,Europe,21.521,0.66,6,0.05,2.29,68,-0.129677311,1.777,-1.092,-0.762,0.5,0.57,0.71,0.791666667,0.75,0.72,0.38,0.67
Portugal,0.100365352,27,42.2,111,23030.79,3.228849265,35.6,18,22,,Europe,8.41,1.21,7.8,0,4.426,63,0.511584117,0.084,-0.433,0.715,0.875,0.74,0.65,0.875,0.75,0.83,0.45,0.72
Qatar,0.8512609,25,33.2,249,69687.55,5.662815046,41.1,100,,1,Asia,,0.63,,,1.964,93,2.019690819,-0.454,1.674,0.85,0.5,0.73,,0.583333333,0.5,0.78,0.66,0.62
Russia,-0.469291149,39,39.6,9,11162.65,3.164031726,37.7,40,66,1,Europe,86.239,-0.06,,,3.975,93,-0.591920245,2.315,-1.487,-1.192,0.25,0.54,0.49,0.791666667,0.25,0.67,0.37,0.68
Saudi Arabia,0.616244523,25,27.5,16,22865.18,4.418430699,45.9,,65,1,Asia,,0.32,,,2.568,95,1.82765443,0.046,1.279,0.85,0.375,0.58,0.66,0.791666667,0.5,0.61,0.56,0.82
Singapore,0.356392049,20,34.6,8240,63987.07,5.766091678,46.4,40,100,1,Asia,34.535,2.23,10.4,-0.137,2.276,74,1.437850623,-1.031,0.489,-2.451,1,0.89,0.88,1,1,1,0.8,0.81
Slovakia,-0.36028055,52,40.5,111,19547.66,2.636217896,26.1,65.09,69,,Europe,40.951,0.71,,,3.45,100,-0.84951665,1.854,-0.565,-0.695,0.625,0.5,0.55,1,0.75,0.78,0.36,0.56
South Korea,0.189389237,18,41.8,512,31430.6,3.379812899,31.6,69,43,,Asia,50.472,1.18,10,-0.007,2.326,60,1.295348084,1.277,-0.828,0.584,0.625,0.69,0.7,0.916666667,0.75,0.83,0.32,0.68
Spain,-0.298585036,51,42.7,92,29961.11,3.216561508,36,5.4,7.1,,Europe,,1,5.4,0.128,3.872,57,-0.34343112,0.815,-0.565,-0.186,0.75,0.66,0.67,0.916666667,0.75,0.72,0.46,0.71
Sri Lanka,0.647660832,35,32.8,326,3946.59,3.865479418,39.8,45.85,,,Asia,,-0.24,,,0.881,80,1.444244091,-0.916,0.225,-0.078,0.25,0.51,0.7,0.541666667,0.5,0.61,,0.74
