ResponseID,SiteCountry,City,Sample,DataCollection,Gender,Age,Origin,Degree,Major,Attention,Tightness_Q1,Tightness_Q2,Tightness_Q3,Tightness_Q4,Tightness_Q5,Tightness_Q6,Tightness_Q1_adjusted,Tightness_Q2_adjusted,Tightness_Q3_adjusted,Tightness_Q4_adjusted,Tightness_Q5_adjusted,Tightness_Q6_adjusted
 3156,Algeria,Oran,Student,1, , , , , , ,4.97301634391043,4.64495798456002,4.35781106455693,2.96075823130673,4.43286174666354,3.76041821305149,2.71639234977068,2.38833399042027,2.10118707041717,5.21738222544649,2.17623775252378,1.50379421891174
 3157,Algeria,Oran,Student,1, , , , , , ,4.97301634391043,4.64495798456002,4.35781106455693,2.96075823130673,4.43286174666354,3.76041821305149,2.71639234977068,2.38833399042027,2.10118707041717,5.21738222544649,2.17623775252378,1.50379421891174
 3158,Algeria,Oran,Student,1, , , , , , ,6,6,1,1,4,6,4.4,4.4,-.6,2.6,2.4,4.4
 3159,Algeria,Oran,Student,1, , , , , , ,6,5,5,2,6,6,3.43339835620741,2.43339835620741,2.43339835620741,4.56660164379259,3.43339835620741,3.43339835620741
 3160,Algeria,Oran,Student,1, , , , , , ,4.97301634391043,4.64495798456002,4.35781106455693,2.96075823130673,4.43286174666354,3.76041821305149,2.71639234977068,2.38833399042027,2.10118707041717,5.21738222544649,2.17623775252378,1.50379421891174
 3161,Algeria,Oran,Student,1, , , , , , ,5.27687155508955,4.8372855748013,4.66368933957805,3.00527373352731,4.58876032516979,4.04685211039437,2.95363967005896,2.51405368977071,2.34045745454746,5.3285056185579,2.2655284401392,1.72362022536378
 3162,Algeria,Oran,Student,1, , , , , , ,6,6,6,2,6,6,3.7268366967814,3.7268366967814,3.7268366967814,4.2731633032186,3.7268366967814,3.7268366967814
 3163,Algeria,Oran,Student,1, , , , , , ,4.96293498419397,4.65255215787917,4.50076336837183,2.77594467577157,4.47649411585001,3.96940691913137,2.68347688644984,2.37309406013504,2.2213052706277,5.05540277351571,2.19703601810587,1.68994882138723
 3164,Algeria,Oran,Student,1, , , , , , ,4,4,3,1,5,2,.950462402557574,.950462402557574,-.0495375974424257,4.04953759744243,1.95046240255757,-1.04953759744243
 3165,Algeria,Oran,Student,1, , , , , , ,6,5,6,2,4,4,3.9281297148278,2.9281297148278,3.9281297148278,4.0718702851722,1.9281297148278,1.9281297148278
 3166,Algeria,Oran,Student,1, , , , , , ,5.24649983526897,4.84847401647421,4.68614332923538,2.77035773109959,4.66611423881258,3.96674098787264,3.0952963528457,2.69727053405094,2.53493984681211,4.92156121352286,2.51491075638931,1.81553750544936
 3167,Algeria,Oran,Student,1, , , , , , ,4.97301634391043,4.64495798456002,4.35781106455693,2.96075823130673,4.43286174666354,3.76041821305149,2.71639234977068,2.38833399042027,2.10118707041717,5.21738222544649,2.17623775252378,1.50379421891174
 6434,Algeria,Oran,Student,1,2,18,1,3,1,4,5,6,5,3,2,4,3.04,4.04,3.04,4.96,.04,2.04
 6435,Algeria,Oran,Student,1,2,18,1,3,4,4,6,5,3,1,5,5,3.94,2.94,.94,3.06,2.94,2.94
 8790,Algeria,Oran,Student,1,2,19,1,5,1,4,1,2,2,6,5,5,-1.38,-.38,-.38,8.38,2.62,2.62
 8791,Algeria,Oran,Student,1,2,19,1,3,1,4,5,6,5,2,4,5,3.04,4.04,3.04,3.96,2.04,3.04
 8792,Algeria,Oran,Student,1,2,19,1,2,1,4,6,5,5,3,5,4,4.32,3.32,3.32,4.68,3.32,2.32
 8793,Algeria,Oran,Student,1,2,19,1,2,1,4,6,5,5,6,6,3,3.92,2.92,2.92,8.08,3.92,.92
 8794,Algeria,Oran,Student,1,2,19,1,4,1,4,5,4,5,3,5,5,3.6,2.6,3.6,4.4,3.6,3.6
 8795,Algeria,Oran,Student,1,1,19,1,2,3,4,6,5,6,3,6,3,3.67033862893,2.67033862893,3.67033862893,5.32966137107,3.67033862893,.670338628929997
 8796,Algeria,Oran,Student,1,1,19,1,6,3,4,4,2,5,3,2,5,1.74,-.26,2.74,5.26,-.26,2.74
 8797,Algeria,Oran,Student,1,2,19,1,2,3,4,6,2,4,5,6,2,3.54,-.46,1.54,7.46,3.54,-.46
 8798,Algeria,Oran,Student,1,2,19,1,1,1,4,6,5,4,4,5,5,4.3,3.3,2.3,5.7,3.3,3.3
 8799,Algeria,Oran,Student,1,2,19,1,5,1,4,4,5,5,3,3,3,2.04,3.04,3.04,4.96,1.04,1.04
11277,Algeria,Oran,Student,1,2,20,1,3,1,4,6,6,6,2,6,6,3.9,3.9,3.9,4.1,3.9,3.9
11278,Algeria,Oran,Student,1,2,20,1,1,1,4,5,5,6,2,5,5,3.24,3.24,4.24,3.76,3.24,3.24
11279,Algeria,Oran,Student,1,2,20,1,3,1,4,6,6,6,2,3,5,3.56,3.56,3.56,4.44,.56,2.56
11280,Algeria,Oran,Student,1,2,20,1,4,1,4,5,5,6,2,5,5,2.68,2.68,3.68,4.32,2.68,2.68
11281,Algeria,Oran,Student,1,2,20,1,2,1,4,3,4,4,2,5,4,.88,1.88,1.88,4.12,2.88,1.88
11282,Algeria,Oran,Student,1,1,20,1,2,3,4,6,6,6,1,6,6,4.34,4.34,4.34,2.66,4.34,4.34
11283,Algeria,Oran,Student,1,2,20,1,3,3,4,5,4,3,3,5,5,3.22,2.22,1.22,4.78,3.22,3.22
11284,Algeria,Oran,Student,1,1,20,1,3,3,4,4,5,4,4,4,4,1.38,2.38,1.38,6.62,1.38,1.38
11285,Algeria,Oran,Student,1,2,20,1,2,1,4,3,5,5,1,5,5,1.06,3.06,3.06,2.94,3.06,3.06
11286,Algeria,Oran,Student,1,2,20,1,3,3,4,4,6,6,3,4,6,2.18,4.18,4.18,4.82,2.18,4.18
11287,Algeria,Oran,Student,1,1,20,1,1,1,4,6,4,4,2,6,5,4.34,2.34,2.34,3.66,4.34,3.34
11288,Algeria,Oran,Student,1,2,20,1,4,3,4,6,6,5,1,6,1,4.56,4.56,3.56,2.44,4.56,-.44
13420,Algeria,Oran,Student,1,2,21,1,5,1,4,4,5,5,3,5,6,1.36,2.36,2.36,5.64,2.36,3.36
