Entity,Days,Country,(Intercept),log_day,Ztests_per_mil
Afghanistan,30,Afghanistan,-5.904016399,2.063881438,
Albania,27,Albania,-0.446399857,1.506600992,
Algeria,34,Algeria,-6.187327707,2.406516299,
Andorra,22,Andorra,2.211650094,2.161807379,
Angola,14,Angola,-3.340855992,0.686378796,
Anguilla,9,Anguilla,4.783293397,0.140273727,
Antigua and Barbuda,16,Antigua and Barbuda,1.511679187,1.0991628,
Argenti,29,Argenti,-4.710198698,2.306821791,
Armenia,26,Armenia,-2.571220157,2.312403854,0.545976003
Aruba,13,Aruba,2.958734265,1.379279698,
Asia,96,Asia,-10.14478061,3.053484849,
Australia,71,Australia,-2.854273334,2.008737304,-2.754699966
Austria,39,Austria,-6.019597744,3.008053676,1.712210164
Azerbaijan,29,Azerbaijan,-3.373163516,1.932057317,
Bahamas,18,Bahamas,0.487733674,1.149570278,
Bahrain,40,Bahrain,-0.156980367,1.625550107,0.031112935
Bangladesh,21,Bangladesh,-4.525793838,1.188464278,
Barbados,18,Barbados,0.91110576,1.489205925,
Belarus,29,Belarus,-4.818633622,1.969073537,1.154793763
Belgium,61,Belgium,-16.47263362,3.242663332,7.550905869
Belize,12,Belize,0.808863097,0.530698968,
Benin,19,Benin,-3.18635591,1.008520909,
Bermuda,16,Bermuda,2.714556602,1.28112753,
Bhutan,22,Bhutan,-0.427203326,0.665087007,
Bolivia,23,Bolivia,-2.245147681,1.408966761,
Boire Sint Eustatius and Saba,3,Boire Sint Eustatius and Saba,4.334341843,-1.49E-15,
Bosnia and Herzegovi,23,Bosnia and Herzegovi,-1.395926323,2.033391939,
Botswa,4,Botswa,0.291771854,0.21081507,
Brazil,36,Brazil,-7.467406475,3.342289218,-1.647792164
British Virgin Islands,9,British Virgin Islands,4.067087002,0.2460639,
Brunei,25,Brunei,2.235274593,1.184145879,
Bulgaria,26,Bulgaria,-1.49281422,1.776382768,
Burki Faso,23,Burki Faso,-3.461798233,1.934636118,
Burundi,4,Burundi,-1.84607385,0.335035474,
Cambodia,59,Cambodia,-5.842586518,1.446516572,
Cameroon,23,Cameroon,-4.320490864,2.012937162,
Cada,70,Cada,-7.400476448,2.35759618,
Cape Verde,15,Cape Verde,1.247796022,0.422100856,
Cayman Islands,16,Cayman Islands,2.459735702,1.099969973,
Central African Republic,20,Central African Republic,-2.341779089,0.911942732,
Chad,16,Chad,-3.127546595,0.837999527,
Chile,31,Chile,-4.666203645,2.748382094,
Chi,96,Chi,-8.63528744,2.919775022,
Colombia,25,Colombia,-3.984620894,2.287713924,-0.252824421
Congo,20,Congo,-2.641090213,1.277968982,
Costa Rica,28,Costa Rica,-1.125558588,1.783697506,-0.498663328
Cote d'Ivoire,22,Cote d'Ivoire,-4.048303119,1.918750241,
Croatia,36,Croatia,-1.950415234,2.235378585,-1.270578868
Cuba,21,Cuba,-2.392077657,1.690982913,
Curacao,12,Curacao,2.208754712,0.888469224,
Cyprus,24,Cyprus,0.554041696,1.572528619,
Czech Republic,34,Czech Republic,-3.594695412,2.525678713,0.262023595
Democratic Republic of Congo,23,Democratic Republic of Congo,-5.556855505,1.823014676,
Denmark,38,Denmark,-6.8123951,2.931012189,2.578107474
Djibouti,17,Djibouti,-1.378713512,1.691486935,
Dominica,13,Dominica,2.497350014,1.169534497,
Dominican Republic,25,Dominican Republic,-3.88823915,2.588677307,
Ecuador,30,Ecuador,-4.286729447,2.647371355,
Egypt,46,Egypt,-8.814791883,2.589531389,
El Salvador,17,El Salvador,-2.655527178,1.581893975,
Equatorial Guinea,21,Equatorial Guinea,-1.103925459,1.192339102,
Eritrea,14,Eritrea,-2.194468558,1.449365389,
Estonia,32,Estonia,-5.648241784,2.622641463,3.150901445
Ethiopia,22,Ethiopia,-4.95535911,1.124363466,
Europe,71,Europe,-11.73643534,3.739983795,
Faeroe Islands,16,Faeroe Islands,7.177443959,0.389553625,-0.028590373
Falkland Islands,1,Falkland Islands,5.659861287,,
Fiji,16,Fiji,-0.007908244,0.792450381,
Finland,61,Finland,-11.36084017,2.422060764,4.696572878
France,70,France,-12.51598802,2.996331463,3.690274056
French Polynesia,17,French Polynesia,2.47787793,0.943968615,
