Entity,TL,Median_Age,Population.density,GDP.capita,Government.efficiency,CaseLog,Gini,Underreporting,Authoritarian,Continent
Colombia,-1.912583817,30,45,6508.13,3.039393647,0.97593,50.8,24,,South America
Hungary,-1.587321602,42.3,104,17463.28,2.902592433,1.2629,30.9,15,1,Europe
Argenti,-1.497120258,31.7,16,9887.79,2.336128838,1.0001,42.4,19,,South America
Bosnia and Herzegovi,-1.173635854,42.1,64,5741.76,2.53633299,1.101,33.1,13,,Europe
Estonia,-1.116939747,42.7,29,23523.6,4.401768271,1.9919,34.6,100.00,,Europe
Brazil,-1.090946719,32.6,25,8796.91,2.496853694,1.1522,46.9,11,,South America
Netherlands,-1.070535119,42.6,409,52367.85,4.944898864,2.06653,28.6,5.9,,Europe
Spain,-1.062267578,42.7,92,29961.11,3.216561508,2.4508,36,5.4,,Europe
Czech Republic,-1.051712123,42.1,136,23213.95,3.681881098,1.8725,25.9,53,,Europe
Peru,-1.051575327,28,26,7046.79,2.80518837,1.1605,43.8,16,,South America
Greece,-1.032745526,44.5,79,19974.37,2.762990227,0.7853,35.8,16,,Europe
Mexico,-0.892340456,28.2,66,10118.17,3.109504047,0.59966,43.4,17,,North America
Chile,-0.889357486,34.4,25,15399.24,4.148466375,1.6184,47.7,89,,South America
Israel,-0.881851201,29.9,417,42823.31,3.748201607,2.0765,41.4,100,,Europe
Slovakia,-0.84951665,40.5,111,19547.66,2.636217896,1.36141,26.1,65.09,,Europe
Poland,-0.770896641,40.7,121,14901.55,3.199944642,1.26105,32.1,30.00,,Europe
Russia,-0.591920245,39.6,9,11162.65,3.164031726,0.76231,37.7,40,1,Europe
Trinidad and Tobago,-0.557723473,36,273,16365.64,3.20767521,1.5638,40.3,,,North America
Ecuador,-0.498395416,27.7,64,6249.39,2.879376765,1.8341,45,14,,South America
Ukraine,-0.477058981,40.6,72,3592.17,2.866647266,0.69566,25.5,11,,Europe
Finland,-0.292051891,42.5,16,48868.74,5.320377733,1.9232,26.8,48,,Europe
Italy,-0.265834655,45.5,201,32946.52,2.201114318,2.27202,34.7,5.8,,Europe
United Kingdom,-0.243066177,40.5,279,41030.23,4.823960274,1.7259,34.1,5.4,,Europe
Ireland,-0.136597718,20,70,77771.21,4.718019342,1.9765,31.9,20,,Europe
Latvia,-0.113643145,43.6,29,18171.65,3.456399357,1.77276,35.1,70.41,,Europe
Cada,-0.034231097,42.2,4,46212.84,4.702926362,1.5894,34,31,,North America
United States,-0.018878891,38.1,35,65111.6,4.263459752,2.0159,41.5,16,,North America
Iceland,0.137132628,36.5,3,67037.34,4.613276837,2.20528,25.6,48.94,,Europe
Australia,0.24708734,38.7,3,53825.16,4.25568066,1.5923,34.7,100,,Australia
Portugal,0.295052743,42.2,111,23030.79,3.228849265,2.0539,35.6,18,,Europe
Armenia,0.486905515,35.1,100,4527.59,3.401135002,1.75177,32.4,15.18,,Europe
Germany,0.526239441,47.1,235,46563.99,4.728817911,2.1238,31.4,47,,Europe
Ivory Coast,0.579913096,20.9,,,,0.23668,41.7,33.82,,Africa
Chi,0.605901939,37.4,148,10098.87,4.006861266,0.96986,38.6,33,1,South America
Austria,0.730423398,44,107,50022.61,4.312938023,2.3278,30.5,42,,Europe
Iran,0.734617378,30.3,51,5506.23,3.145049375,1.9021,38.8,9.9,1,Asia
Kazakhstan,0.810248664,30.6,7,9139.11,,0.4907,26.5,21.36,1,Asia
South Korea,0.924769361,41.8,512,31430.6,3.379812899,1.39349,31.6,69,,Asia
Vietm,0.927599465,30.5,294,2739.82,3.407291069,0.16927,35.3,100,1,Asia
Malaysia,0.931023368,28.5,98,11136.81,5.096361681,1.4513,41,46,,Asia
Thailand,1.063252798,37.7,136,7791.95,3.43156454,1.1948,36.5,100,,Asia
Japan,1.083211645,47.3,335,40846.78,4.634031911,0.79674,32.1,26,,Asia
Mozambique,1.105984418,17.2,39,484.405,3.148153539,,,,,Africa
Turkey,1.199072895,30.9,108,8957.89,3.675668315,1.56343,41.9,15,1,Europe
