Entity,Entity2,TL,Median_Age,Population.density,GDP.capita,Government.efficiency,CaseLog,Gini,Underreporting,Authoritarian,Continent,Days,Country,X.Intercept.,log_day,Ztests_per_mil,TL_c,TL_l,TL_h,TL_2,Government.efficiency_c,Government.efficiency_l,Government.efficiency_h,Government.efficiency_2,ZGDP.capita,ZGini,ZMedian_Age,ZUnderreporting,Zlog_PopDensity,Authoritarianism,Europe,Africa,Asia,SouthA,NorthA,Mortality.Likelihood,Total_Cases,Total_Deaths
Slovakia,Slovakia,-0.84951665,40.5,111,19547.66,2.636217896,1.36141,26.1,65.09,,Europe,28,Slovakia,-2.405124894,1.959309596,0.364417215,-1.109014238,0.058841695,-2.276870172,1.229912581,-0.997136299,-0.201426463,-1.792846135,0.994280799,0.166531164,-1.458720523,0.44460733,0.991106964,0.156476312,0,1,0,0,0,0,0,0,0
Vietm,Vietnam,0.927599465,30.5,294,2739.82,3.407291069,0.16927,35.3,100,1,Asia,68,Vietm,-6.516030317,1.330605095,0.77673079,0.668101877,1.83595781,-0.499754057,0.446360118,-0.226063126,0.56964671,-1.021772962,0.051104537,-0.653101401,-0.26695373,-0.270259302,2.154351455,0.797306241,1,0,0,1,0,0,0,0,0
Mozambique,Mozambique,1.105984418,17.2,39,484.405,3.148153539,,,,,Africa,13,Mozambique,-3.764950454,1.105110051,,0.84648683,2.014342763,-0.321369104,0.716539953,-0.485200656,0.31050918,-1.280910492,0.235419677,-0.763086479,,-1.221031922,,-0.524811202,0,0,1,0,0,0,0,0,0
Thailand,Thailand,1.063252798,37.7,136,7791.95,3.43156454,1.1948,36.5,100,,Asia,76,Thailand,-7.245631102,1.973822635,0.113561206,0.80375521,1.971611143,-0.364100724,0.646022437,-0.201789655,0.593920181,-0.997499491,0.040719065,-0.406734808,-0.111505887,0.244444673,2.154351455,0.289794707,0,0,0,1,0,0,0.000934959,24600,23
Latvia,Latvia,-0.113643145,43.6,29,18171.65,3.456399357,1.77276,35.1,70.41,,Europe,29,Latvia,-1.141757283,2.089648842,-0.478220499,-0.373140733,0.7947152,-1.540996667,0.139234007,-0.176954838,0.618754998,-0.972664674,0.031313015,0.09943018,-0.292861703,0.666215986,1.168375961,-0.715167173,0,1,0,0,0,0,0.001964637,509,1
Malaysia,Malaysia,0.931023368,28.5,98,11136.81,5.096361681,1.4513,41,46,,Asia,70,Malaysia,-8.522645507,1.886268882,3.132710462,0.67152578,1.839381713,-0.496330154,0.450946873,1.463007486,2.258717322,0.66729765,2.140390904,-0.243623059,0.471423523,-0.413232628,0.355004492,0.074837811,0,0,0,1,0,0,0.002194967,51937,114
Qatar,Qatar,2.019690819,33.2,249,69687.55,5.662815046,2.0668,41.1,100,1,Asia,31,Qatar,11.69230891,2.165743129,-13.04505879,1.760193231,2.928049164,0.592337297,3.098280209,2.029460851,2.825170687,1.233751015,4.118711346,2.611597674,0.484377509,-0.077245311,2.154351455,0.68778721,1,0,0,1,0,0,0.002493766,1604,4
Iceland,Iceland,0.137132628,36.5,3,67037.34,4.613276837,2.20528,25.6,48.94,,Europe,36,Iceland,-0.002850662,2.276115714,0.017334113,-0.12236496,1.045490973,-1.290220894,0.014973184,0.979922642,1.775632478,0.184212806,0.960248384,2.482360459,-1.523490457,0.158660677,0.452968937,-2.048405696,0,1,0,0,0,0,0.00269179,1486,4
Singapore,Singapore,1.631476771,34.6,8240,63987.07,5.766091678,1.1123,46.4,40,1,Asia,72,Singapore,-2.393835266,1.561567881,,1.371979183,2.539835116,0.204123249,1.882326878,2.132737483,2.928447319,1.337027647,4.548569171,2.333614361,1.170938814,0.022836017,0.155077051,3.000664452,1,0,0,1,0,0,0.004583652,1309,6
UAE,UAE,1.801248703,30.3,,,,,,,,Asia,,,,,,1.541751115,2.709607048,0.373895181,2.376996499,,,,,,,-0.284556634,,,0,0,0,1,0,0,0.005561735,1798,10
