"","School","PubEvnts","Gather","PubTrans","StHome","IntTransf","IntTravel","InfoCamp","Parks","Residential","Work","Transit","RetailRecreation","GroceryPharm","COL","cor_simple","coef_simple","se_simple","cor_dif","n","LongRunCoeff","polity2","risktaking","patience","ROL","GDP.capita","CaseLog"
"School",1,0.714687535153475,0.36924566175587,0.348846362939091,0.405797772474354,0.433069026322383,0.229162154958084,0.00306810500574143,-0.257567685177221,0.259796609392125,-0.288088659363381,-0.27525276882396,-0.323676564018793,-0.309583382732734,NA,-0.398011648316867,0.0111944841195715,-0.622400889419834,-0.189526065647026,0.00394327847733025,-0.436419302622113,-0.114409683367185,-0.244809752694448,-0.116087597950731,-0.196812617912717,-0.173670566053002,-0.207981368366485
"PubEvnts",0.714687535153475,1,0.442240418148969,0.299474982703989,0.396583112849646,0.432514516644238,0.264827192707117,0.0528489317679497,-0.283086401705761,0.369413610730442,-0.388755303635522,-0.371916370129996,-0.410416769216436,-0.317938646922888,NA,-0.476620514472305,-0.116149086595237,-0.595747388091763,-0.264271565008534,0.0100205451769462,-0.55199273817924,0.0484979377823608,-0.151196208666214,-0.0635984308977056,-0.0228477082017765,-0.0161885129165009,-0.0758308414770181
"Gather",0.36924566175587,0.442240418148969,1,0.212199163750567,0.442168879357373,0.241025907482526,0.110923211707631,-0.0106634485800962,-0.0745352334367689,0.303852679450498,-0.389948463881632,-0.289247851381972,-0.344124366116175,-0.280622584420527,NA,-0.269259327010353,-0.0455141609870142,-0.406040719511589,-0.150821219947711,0.0636941761951324,-0.338013764588159,0.237537437622003,-0.0485349595966689,0.106186345063543,0.158451105473097,0.146798586223062,0.0581565882474183
"PubTrans",0.348846362939091,0.299474982703989,0.212199163750567,1,0.467339959952624,0.409693633230188,0.212937567692898,-0.0530564521561245,-0.291962307652432,0.279543576214773,-0.332482793956672,-0.354314860065062,-0.369180384978231,-0.491063816674918,NA,-0.357279973181686,-0.14994010729606,-0.30737723304185,-0.264819719868177,-0.0420299121464821,-0.207593932674817,-0.0661562867050055,-0.175702827744833,-0.147110265597605,-0.0592901276144798,-0.016153018098847,-0.104824801941423
"StHome",0.405797772474354,0.396583112849646,0.442168879357373,0.467339959952624,1,0.50123042359403,0.272537653016876,0.196133502704451,-0.348028542352949,0.509568670493192,-0.619621864395782,-0.547456411791043,-0.590444815491339,-0.543318427033418,NA,-0.295125479146754,-0.27977753500317,-0.252195476835854,-0.249150708118819,-0.127307968022447,-0.393049675927553,0.00400196842968371,-0.23056798086507,-0.0125637966584265,0.0921224500674997,0.0862227806133296,-0.0607536308373268
"IntTransf",0.433069026322383,0.432514516644238,0.241025907482526,0.409693633230188,0.50123042359403,1,0.267202996917356,0.165882006211016,-0.347069493372797,0.473301008380282,-0.47610690218894,-0.512232960758961,-0.49448932144368,-0.471626480372551,NA,-0.50919376936475,-0.321712636303904,-0.453855915734483,-0.268011360202143,-0.0555106486410456,-0.424932502261702,-0.0410808395966569,-0.220799858703542,-0.128904492891944,-0.00849241361879575,0.0362206128151431,-0.0246103434924995
"IntTravel",0.229162154958084,0.264827192707117,0.110923211707631,0.212937567692898,0.272537653016876,0.267202996917356,1,-0.0424456847212382,-0.221057329412355,0.179338625336366,-0.155222456098186,-0.230971157620818,-0.154164880329856,-0.238190525946714,NA,-0.101675504469351,-0.0117925664846126,-0.199626140814725,-0.124910151506176,0.0985798411486371,-0.229075037399181,0.0336304499299209,-0.169215799173254,-0.235819890560789,-0.0444792832365186,-0.0650541783157846,-0.096911634335764
"InfoCamp",0.00306810500574143,0.0528489317679497,-0.0106634485800962,-0.0530564521561245,0.196133502704451,0.165882006211016,-0.0424456847212382,1,-0.0082140536342773,0.104003789269533,-0.140207866379757,-0.137666916320369,-0.150885094814949,-0.0324188683861237,NA,0.0703230531521126,-0.157927755759819,0.102780225958625,-0.117618228253471,0.0570911754891863,-0.220559673259338,0.0544247814051583,0.00437095357405287,0.0153868732503788,0.0592351175712537,0.104464427745617,0.0374304589395369
"Parks",-0.257567685177221,-0.283086401705761,-0.0745352334367689,-0.291962307652432,-0.348028542352949,-0.347069493372797,-0.221057329412355,-0.0082140536342773,1,-0.651408067853736,0.492960657274522,0.568443455937731,0.607830567158613,0.64909353571044,NA,0.548226463038157,0.65678428775548,0.152913773735012,0.360806770368679,0.318963499342126,0.466287452022624,0.0296153164589374,0.118914845061558,0.136867900609457,0.226884097588632,0.179689038421742,0.203056740622808
"Residential",0.259796609392125,0.369413610730442,0.303852679450498,0.279543576214773,0.509568670493192,0.473301008380282,0.179338625336366,0.104003789269533,-0.651408067853736,1,-0.850425247385528,-0.831921857422525,-0.818107923234945,-0.803958819400576,NA,-0.537879200405433,-0.672398628463082,-0.312578540532959,-0.482280727804588,-0.0947420886538902,-0.637207098324042,0.102396628969481,-0.151142214307455,-0.101357598932713,0.0617172847462167,0.0083112598664504,0.0166844644415737
"Work",-0.288088659363381,-0.388755303635522,-0.389948463881632,-0.332482793956672,-0.619621864395782,-0.47610690218894,-0.155222456098186,-0.140207866379757,0.492960657274522,-0.850425247385528,1,0.912881044861037,0.923875580104802,0.777545506683616,NA,0.475451089460755,0.645595537141914,0.282422235249268,0.446300028494751,0.0851645502332036,0.656664310252283,-0.0927423497039565,0.166387863132872,0.0494654564276504,-0.127015134990023,-0.0617332526659595,-0.0919438483720879
"Transit",-0.27525276882396,-0.371916370129996,-0.289247851381972,-0.354314860065062,-0.547456411791043,-0.512232960758961,-0.230971157620818,-0.137666916320369,0.568443455937731,-0.831921857422525,0.912881044861037,1,0.888980926114322,0.742126802364041,NA,0.517943430417343,0.659675050760196,0.288944377080378,0.45203008774899,0.120742821758246,0.65857022790026,-0.0606500000509157,0.230341199744454,0.13899781932394,-0.0659622530217616,-0.000527631681744095,-0.013674156462809
"RetailRecreation",-0.323676564018793,-0.410416769216436,-0.344124366116175,-0.369180384978231,-0.590444815491339,-0.49448932144368,-0.154164880329856,-0.150885094814949,0.607830567158613,-0.818107923234945,0.923875580104802,0.888980926114322,1,0.77945840864882,NA,0.524075822359479,0.695045580865039,0.240154388320466,0.438001762620979,0.176113800127111,0.691768837124602,-0.0679363827311406,0.133848241698807,0.0594768287393473,-0.101829596938734,-0.0472054724500889,-0.0193696679715769
"GroceryPharm",-0.309583382732734,-0.317938646922888,-0.280622584420527,-0.491063816674918,-0.543318427033418,-0.471626480372551,-0.238190525946714,-0.0324188683861237,0.64909353571044,-0.803958819400576,0.777545506683616,0.742126802364041,0.77945840864882,1,NA,0.530106336928407,0.641361773059463,0.259765087684807,0.466306472470162,0.151582987101432,0.512905382091497,-0.00063612380572922,0.133453309642224,0.0783091729898807,0.0514279722322489,0.0983174780293383,0.0711872317346103
"COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cor_simple",-0.398011648316867,-0.476620514472305,-0.269259327010353,-0.357279973181686,-0.295125479146754,-0.50919376936475,-0.101675504469351,0.0703230531521126,0.548226463038157,-0.537879200405433,0.475451089460755,0.517943430417343,0.524075822359479,0.530106336928407,NA,1,0.582856075967522,0.642566040651156,0.314546164644672,0.147990277560645,0.377267163892606,0.0282309772857993,0.0758463425943931,0.180829244874702,0.0404532678487292,0.00290962636643567,0.0343104980236155
"coef_simple",0.0111944841195715,-0.116149086595237,-0.0455141609870142,-0.14994010729606,-0.27977753500317,-0.321712636303904,-0.0117925664846126,-0.157927755759819,0.65678428775548,-0.672398628463082,0.645595537141914,0.659675050760196,0.695045580865039,0.641361773059463,NA,0.582856075967522,1,-0.0621325609721034,0.3609225479068,0.214809475680679,0.401403543976389,-0.00871754754183956,0.0629103628279069,0.139598001725982,0.026891277866421,0.0406176809592193,-0.0312486654621551
"se_simple",-0.622400889419834,-0.595747388091763,-0.406040719511589,-0.30737723304185,-0.252195476835854,-0.453855915734483,-0.199626140814725,0.102780225958625,0.152913773735012,-0.312578540532959,0.282422235249268,0.288944377080378,0.240154388320466,0.259765087684807,NA,0.642566040651156,-0.0621325609721034,1,0.248661394307663,-0.057025583759408,0.386776462242141,-0.0235202194464465,0.136148625316439,0.021113473180226,-0.0502785389940615,-0.103837095304993,0.0223024466788402
"cor_dif",-0.189526065647026,-0.264271565008534,-0.150821219947711,-0.264819719868177,-0.249150708118819,-0.268011360202143,-0.124910151506176,-0.117618228253471,0.360806770368679,-0.482280727804588,0.446300028494751,0.45203008774899,0.438001762620979,0.466306472470162,NA,0.314546164644672,0.3609225479068,0.248661394307663,1,0.0950943104615511,0.565160837176775,-0.0557617682270551,0.147280984422745,0.0726023581728797,0.0737590501893922,-0.00882421678179694,-0.020708568806901
"n",0.00394327847733025,0.0100205451769462,0.0636941761951324,-0.0420299121464821,-0.127307968022447,-0.0555106486410456,0.0985798411486371,0.0570911754891863,0.318963499342126,-0.0947420886538902,0.0851645502332036,0.120742821758246,0.176113800127111,0.151582987101432,NA,0.147990277560645,0.214809475680679,-0.057025583759408,0.0950943104615511,1,0.155927512655126,0.0619309654912236,-0.0243079071680622,-0.0289552455572139,0.0367198339546429,0.00921945680870724,0.0843516616639964
"LongRunCoeff",-0.436419302622113,-0.55199273817924,-0.338013764588159,-0.207593932674817,-0.393049675927553,-0.424932502261702,-0.229075037399181,-0.220559673259338,0.466287452022624,-0.637207098324042,0.656664310252283,0.65857022790026,0.691768837124602,0.512905382091497,NA,0.377267163892606,0.401403543976389,0.386776462242141,0.565160837176775,0.155927512655126,1,-0.0942506314976433,0.114936828907768,-0.0205176767491982,-0.0422294691191432,-0.0731884585303584,0.0328826002123864
"polity2",-0.114409683367185,0.0484979377823608,0.237537437622003,-0.0661562867050055,0.00400196842968371,-0.0410808395966569,0.0336304499299209,0.0544247814051583,0.0296153164589374,0.102396628969481,-0.0927423497039565,-0.0606500000509157,-0.0679363827311406,-0.00063612380572922,NA,0.0282309772857993,-0.00871754754183956,-0.0235202194464465,-0.0557617682270551,0.0619309654912236,-0.0942506314976433,1,0.012785917509495,0.20443757585892,0.457495672020575,0.312001986873055,0.250777285085807
"risktaking",-0.244809752694448,-0.151196208666214,-0.0485349595966689,-0.175702827744833,-0.23056798086507,-0.220799858703542,-0.169215799173254,0.00437095357405287,0.118914845061558,-0.151142214307455,0.166387863132872,0.230341199744454,0.133848241698807,0.133453309642224,NA,0.0758463425943931,0.0629103628279069,0.136148625316439,0.147280984422745,-0.0243079071680622,0.114936828907768,0.012785917509495,1,0.272036768679018,-0.0808888710715898,-0.0568692602592296,-0.0804569109598681
"patience",-0.116087597950731,-0.0635984308977056,0.106186345063543,-0.147110265597605,-0.0125637966584265,-0.128904492891944,-0.235819890560789,0.0153868732503788,0.136867900609457,-0.101357598932713,0.0494654564276504,0.13899781932394,0.0594768287393473,0.0783091729898807,NA,0.180829244874702,0.139598001725982,0.021113473180226,0.0726023581728797,-0.0289552455572139,-0.0205176767491982,0.20443757585892,0.272036768679018,1,0.355248338298494,0.392030564990873,0.325515474654975
"ROL",-0.196812617912717,-0.0228477082017765,0.158451105473097,-0.0592901276144798,0.0921224500674997,-0.00849241361879575,-0.0444792832365186,0.0592351175712537,0.226884097588632,0.0617172847462167,-0.127015134990023,-0.0659622530217616,-0.101829596938734,0.0514279722322489,NA,0.0404532678487292,0.026891277866421,-0.0502785389940615,0.0737590501893922,0.0367198339546429,-0.0422294691191432,0.457495672020575,-0.0808888710715898,0.355248338298494,1,0.791612775405434,0.622074888475157
"GDP.capita",-0.173670566053002,-0.0161885129165009,0.146798586223062,-0.016153018098847,0.0862227806133296,0.0362206128151431,-0.0650541783157846,0.104464427745617,0.179689038421742,0.0083112598664504,-0.0617332526659595,-0.000527631681744095,-0.0472054724500889,0.0983174780293383,NA,0.00290962636643567,0.0406176809592193,-0.103837095304993,-0.00882421678179694,0.00921945680870724,-0.0731884585303584,0.312001986873055,-0.0568692602592296,0.392030564990873,0.791612775405434,1,0.635935172205427
"CaseLog",-0.207981368366485,-0.0758308414770181,0.0581565882474183,-0.104824801941423,-0.0607536308373268,-0.0246103434924995,-0.096911634335764,0.0374304589395369,0.203056740622808,0.0166844644415737,-0.0919438483720879,-0.013674156462809,-0.0193696679715769,0.0711872317346103,NA,0.0343104980236155,-0.0312486654621551,0.0223024466788402,-0.020708568806901,0.0843516616639964,0.0328826002123864,0.250777285085807,-0.0804569109598681,0.325515474654975,0.622074888475157,0.635935172205427,1
