Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.668478
Albania,ALB,Rule of Law: Estimate,RL.EST,-0.392243
Algeria,DZA,Rule of Law: Estimate,RL.EST,-0.7753089
American Samoa,ASM,Rule of Law: Estimate,RL.EST,1.363964
Andorra,AND,Rule of Law: Estimate,RL.EST,1.607738
Angola,AGO,Rule of Law: Estimate,RL.EST,-1.048023
Anguilla,AIA,Rule of Law: Estimate,RL.EST,-0.0986837
Antigua and Barbuda,ATG,Rule of Law: Estimate,RL.EST,0.3933258
Argentina,ARG,Rule of Law: Estimate,RL.EST,-0.2400078
Armenia,ARM,Rule of Law: Estimate,RL.EST,-0.1500262
Aruba,ABW,Rule of Law: Estimate,RL.EST,1.297575
Australia,AUS,Rule of Law: Estimate,RL.EST,1.715279
Austria,AUT,Rule of Law: Estimate,RL.EST,1.875834
Azerbaijan,AZE,Rule of Law: Estimate,RL.EST,-0.6002176
"Bahamas, The",BHS,Rule of Law: Estimate,RL.EST,0.0969947
Bahrain,BHR,Rule of Law: Estimate,RL.EST,0.4127088
Bangladesh,BGD,Rule of Law: Estimate,RL.EST,-0.6402364
Barbados,BRB,Rule of Law: Estimate,RL.EST,0.3949094
Belarus,BLR,Rule of Law: Estimate,RL.EST,-0.8329659
Belgium,BEL,Rule of Law: Estimate,RL.EST,1.3679
Belize,BLZ,Rule of Law: Estimate,RL.EST,-0.823954
Benin,BEN,Rule of Law: Estimate,RL.EST,-0.6751704
Bermuda,BMU,Rule of Law: Estimate,RL.EST,0.8764146
Bhutan,BTN,Rule of Law: Estimate,RL.EST,0.5520926
Bolivia,BOL,Rule of Law: Estimate,RL.EST,-1.14962
Bosnia and Herzegovina,BIH,Rule of Law: Estimate,RL.EST,-0.2332111
Botswana,BWA,Rule of Law: Estimate,RL.EST,0.4664786
Brazil,BRA,Rule of Law: Estimate,RL.EST,-0.2776436
Brunei Darussalam,BRN,Rule of Law: Estimate,RL.EST,0.6292501
Bulgaria,BGR,Rule of Law: Estimate,RL.EST,-0.029567
Burkina Faso,BFA,Rule of Law: Estimate,RL.EST,-0.4455683
Burundi,BDI,Rule of Law: Estimate,RL.EST,-1.496611
Cabo Verde,CPV,Rule of Law: Estimate,RL.EST,0.4454568
Cambodia,KHM,Rule of Law: Estimate,RL.EST,-1.114671
Cameroon,CMR,Rule of Law: Estimate,RL.EST,-1.079662
Canada,CAN,Rule of Law: Estimate,RL.EST,1.770795
Cayman Islands,CYM,Rule of Law: Estimate,RL.EST,0.7744462
Central African Republic,CAF,Rule of Law: Estimate,RL.EST,-1.687692
Chad,TCD,Rule of Law: Estimate,RL.EST,-1.305276
Chile,CHL,Rule of Law: Estimate,RL.EST,1.115472
China,CHN,Rule of Law: Estimate,RL.EST,-0.2015748
Colombia,COL,Rule of Law: Estimate,RL.EST,-0.4078089
Comoros,COM,Rule of Law: Estimate,RL.EST,-1.081078
"Congo, Dem. Rep.",COD,Rule of Law: Estimate,RL.EST,-1.784221
"Congo, Rep.",COG,Rule of Law: Estimate,RL.EST,-1.101223
Cook Islands,COK,Rule of Law: Estimate,RL.EST,..
Costa Rica,CRI,Rule of Law: Estimate,RL.EST,0.4787028
Cote d'Ivoire,CIV,Rule of Law: Estimate,RL.EST,-0.5795925
Croatia,HRV,Rule of Law: Estimate,RL.EST,0.324786
Cuba,CUB,Rule of Law: Estimate,RL.EST,-0.4443496
Cyprus,CYP,Rule of Law: Estimate,RL.EST,0.7534632
Czech Republic,CZE,Rule of Law: Estimate,RL.EST,1.04966
Denmark,DNK,Rule of Law: Estimate,RL.EST,1.833378
Djibouti,DJI,Rule of Law: Estimate,RL.EST,-0.9226128
Dominica,DMA,Rule of Law: Estimate,RL.EST,0.6176011
Dominican Republic,DOM,Rule of Law: Estimate,RL.EST,-0.3962312
Ecuador,ECU,Rule of Law: Estimate,RL.EST,-0.6301615
"Egypt, Arab Rep.",EGY,Rule of Law: Estimate,RL.EST,-0.412311
El Salvador,SLV,Rule of Law: Estimate,RL.EST,-0.8247701
Equatorial Guinea,GNQ,Rule of Law: Estimate,RL.EST,-1.41511
Eritrea,ERI,Rule of Law: Estimate,RL.EST,-1.58643
Estonia,EST,Rule of Law: Estimate,RL.EST,1.240627
Eswatini,SWZ,Rule of Law: Estimate,RL.EST,-0.2485004
Ethiopia,ETH,Rule of Law: Estimate,RL.EST,-0.4282891
Fiji,FJI,Rule of Law: Estimate,RL.EST,-0.1286585
Finland,FIN,Rule of Law: Estimate,RL.EST,2.046279
France,FRA,Rule of Law: Estimate,RL.EST,1.440087
French Guiana,GUF,Rule of Law: Estimate,RL.EST,1.210384
Gabon,GAB,Rule of Law: Estimate,RL.EST,-0.7061859
"Gambia, The",GMB,Rule of Law: Estimate,RL.EST,-0.4307549
Georgia,GEO,Rule of Law: Estimate,RL.EST,0.3280484
Germany,DEU,Rule of Law: Estimate,RL.EST,1.630446
Ghana,GHA,Rule of Law: Estimate,RL.EST,0.0718521
Greece,GRC,Rule of Law: Estimate,RL.EST,0.1529743
Greenland,GRL,Rule of Law: Estimate,RL.EST,1.738418
Grenada,GRD,Rule of Law: Estimate,RL.EST,0.3104176
Guam,GUM,Rule of Law: Estimate,RL.EST,1.363964
Guatemala,GTM,Rule of Law: Estimate,RL.EST,-1.050815
Guinea,GIN,Rule of Law: Estimate,RL.EST,-1.211506
Guinea-Bissau,GNB,Rule of Law: Estimate,RL.EST,-1.234043
Guyana,GUY,Rule of Law: Estimate,RL.EST,-0.320109
Haiti,HTI,Rule of Law: Estimate,RL.EST,-1.028031
Honduras,HND,Rule of Law: Estimate,RL.EST,-1.023039
"Hong Kong SAR, China",HKG,Rule of Law: Estimate,RL.EST,1.771396
Hungary,HUN,Rule of Law: Estimate,RL.EST,0.555392
Iceland,ISL,Rule of Law: Estimate,RL.EST,1.719734
India,IND,Rule of Law: Estimate,RL.EST,0.0262165
Indonesia,IDN,Rule of Law: Estimate,RL.EST,-0.3149146
"Iran, Islamic Rep.",IRN,Rule of Law: Estimate,RL.EST,-0.6936132
Iraq,IRQ,Rule of Law: Estimate,RL.EST,-1.759291
Ireland,IRL,Rule of Law: Estimate,RL.EST,1.464224
Israel,ISR,Rule of Law: Estimate,RL.EST,0.9939096
Italy,ITA,Rule of Law: Estimate,RL.EST,0.2467615
Jamaica,JAM,Rule of Law: Estimate,RL.EST,-0.2359448
Japan,JPN,Rule of Law: Estimate,RL.EST,1.534107
"Jersey, Channel Islands",JEY,Rule of Law: Estimate,RL.EST,1.738418
Jordan,JOR,Rule of Law: Estimate,RL.EST,0.2337911
Kazakhstan,KAZ,Rule of Law: Estimate,RL.EST,-0.4316052
Kenya,KEN,Rule of Law: Estimate,RL.EST,-0.4110505
Kiribati,KIR,Rule of Law: Estimate,RL.EST,0.4933382
"Korea, Dem. People’s Rep.",PRK,Rule of Law: Estimate,RL.EST,-1.634559
"Korea, Rep.",KOR,Rule of Law: Estimate,RL.EST,1.23655
Kosovo,XKX,Rule of Law: Estimate,RL.EST,-0.3709781
Kuwait,KWT,Rule of Law: Estimate,RL.EST,0.2107496
Kyrgyz Republic,KGZ,Rule of Law: Estimate,RL.EST,-0.9076821
Lao PDR,LAO,Rule of Law: Estimate,RL.EST,-0.8425543
Latvia,LVA,Rule of Law: Estimate,RL.EST,0.9569856
