Country,Country Code,Indicator Name,"GDP per capita, PPP (constant 2011 international $)"
Aruba,ABW,"GDP per capita, PPP (constant 2011 international $)",
Afghanistan,AFG,"GDP per capita, PPP (constant 2011 international $)",1734.723214
Angola,AGO,"GDP per capita, PPP (constant 2011 international $)",5725.327238
Albania,ALB,"GDP per capita, PPP (constant 2011 international $)",12316.0715
Andorra,AND,"GDP per capita, PPP (constant 2011 international $)",
Arab World,ARB,"GDP per capita, PPP (constant 2011 international $)",15590.39835
United Arab Emirates,ARE,"GDP per capita, PPP (constant 2011 international $)",66616.05028
Argentina,ARG,"GDP per capita, PPP (constant 2011 international $)",18288.2446
Armenia,ARM,"GDP per capita, PPP (constant 2011 international $)",9177.744159
American Samoa,ASM,"GDP per capita, PPP (constant 2011 international $)",
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2011 international $)",23840.7299
Australia,AUS,"GDP per capita, PPP (constant 2011 international $)",45377.75514
Austria,AUT,"GDP per capita, PPP (constant 2011 international $)",46260.38238
Azerbaijan,AZE,"GDP per capita, PPP (constant 2011 international $)",16010.98904
Burundi,BDI,"GDP per capita, PPP (constant 2011 international $)",660.330341
Belgium,BEL,"GDP per capita, PPP (constant 2011 international $)",43582.1284
Benin,BEN,"GDP per capita, PPP (constant 2011 international $)",2151.54317
Burkina Faso,BFA,"GDP per capita, PPP (constant 2011 international $)",1761.234757
Bangladesh,BGD,"GDP per capita, PPP (constant 2011 international $)",3879.161524
Bulgaria,BGR,"GDP per capita, PPP (constant 2011 international $)",19320.75123
Bahrain,BHR,"GDP per capita, PPP (constant 2011 international $)",41973.11293
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2011 international $)",28472.20046
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (constant 2011 international $)",12711.83977
Belarus,BLR,"GDP per capita, PPP (constant 2011 international $)",17741.86223
Belize,BLZ,"GDP per capita, PPP (constant 2011 international $)",7673.653587
Bermuda,BMU,"GDP per capita, PPP (constant 2011 international $)",
Bolivia,BOL,"GDP per capita, PPP (constant 2011 international $)",6986.046487
Brazil,BRA,"GDP per capita, PPP (constant 2011 international $)",14282.71701
Barbados,BRB,"GDP per capita, PPP (constant 2011 international $)",16463.51743
Brunei Darussalam,BRN,"GDP per capita, PPP (constant 2011 international $)",71802.27172
Bhutan,BTN,"GDP per capita, PPP (constant 2011 international $)",9207.693968
Botswana,BWA,"GDP per capita, PPP (constant 2011 international $)",16518.23341
Central African Republic,CAF,"GDP per capita, PPP (constant 2011 international $)",763.0411996
Canada,CAN,"GDP per capita, PPP (constant 2011 international $)",44078.0656
Central Europe and the Baltics,CEB,"GDP per capita, PPP (constant 2011 international $)",27832.28672
Switzerland,CHE,"GDP per capita, PPP (constant 2011 international $)",59317.32399
Channel Islands,CHI,"GDP per capita, PPP (constant 2011 international $)",
Chile,CHL,"GDP per capita, PPP (constant 2011 international $)",22873.80701
China,CHN,"GDP per capita, PPP (constant 2011 international $)",16181.77772
Cote d'Ivoire,CIV,"GDP per capita, PPP (constant 2011 international $)",3733.04767
Cameroon,CMR,"GDP per capita, PPP (constant 2011 international $)",3358.590924
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (constant 2011 international $)",827.1382532
"Congo, Rep.",COG,"GDP per capita, PPP (constant 2011 international $)",5024.082686
Colombia,COL,"GDP per capita, PPP (constant 2011 international $)",13321.32785
Comoros,COM,"GDP per capita, PPP (constant 2011 international $)",2585.117414
Cabo Verde,CPV,"GDP per capita, PPP (constant 2011 international $)",6614.167088
Costa Rica,CRI,"GDP per capita, PPP (constant 2011 international $)",15679.98056
Caribbean small states,CSS,"GDP per capita, PPP (constant 2011 international $)",14363.20693
Cuba,CUB,"GDP per capita, PPP (constant 2011 international $)",
Curacao,CUW,"GDP per capita, PPP (constant 2011 international $)",24617.08176
Cayman Islands,CYM,"GDP per capita, PPP (constant 2011 international $)",
Cyprus,CYP,"GDP per capita, PPP (constant 2011 international $)",34569.20987
Czech Republic,CZE,"GDP per capita, PPP (constant 2011 international $)",33435.50918
Germany,DEU,"GDP per capita, PPP (constant 2011 international $)",45936.18271
Djibouti,DJI,"GDP per capita, PPP (constant 2011 international $)",
Dominica,DMA,"GDP per capita, PPP (constant 2011 international $)",9875.788887
Denmark,DNK,"GDP per capita, PPP (constant 2011 international $)",48419.43788
Dominican Republic,DOM,"GDP per capita, PPP (constant 2011 international $)",15748.38431
Algeria,DZA,"GDP per capita, PPP (constant 2011 international $)",13737.35606
East Asia & Pacific (excluding high income),EAP,"GDP per capita, PPP (constant 2011 international $)",14297.9255
Early-demographic dividend,EAR,"GDP per capita, PPP (constant 2011 international $)",9232.646316
East Asia & Pacific,EAS,"GDP per capita, PPP (constant 2011 international $)",17244.83409
Europe & Central Asia (excluding high income),ECA,"GDP per capita, PPP (constant 2011 international $)",19931.94767
Europe & Central Asia,ECS,"GDP per capita, PPP (constant 2011 international $)",30683.8924
Ecuador,ECU,"GDP per capita, PPP (constant 2011 international $)",10412.19927
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (constant 2011 international $)",11013.73549
Euro area,EMU,"GDP per capita, PPP (constant 2011 international $)",40037.608
Eritrea,ERI,"GDP per capita, PPP (constant 2011 international $)",
Spain,ESP,"GDP per capita, PPP (constant 2011 international $)",34830.54444
Estonia,EST,"GDP per capita, PPP (constant 2011 international $)",31035.39362
Ethiopia,ETH,"GDP per capita, PPP (constant 2011 international $)",1794.290806
European Union,EUU,"GDP per capita, PPP (constant 2011 international $)",37798.20082
Fragile and conflict affected situations,FCS,"GDP per capita, PPP (constant 2011 international $)",4133.550419
Finland,FIN,"GDP per capita, PPP (constant 2011 international $)",42060.80412
Fiji,FJI,"GDP per capita, PPP (constant 2011 international $)",9653.618373
