STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,City,Country,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
94576099999,01/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,78.9,8,67.6,8,1015.5,8,14.5,8,999.9,0,3.6,8,7,999.9,84.6,*,72, ,0,I,999.9,0
94576099999,02/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,78.7,8,66.4,8,1016.1,8,15.1,8,999.9,0,2.9,8,7,999.9,85.3,*,71.4, ,0,I,999.9,0
94576099999,03/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,78.3,8,65,8,1015.8,8,14.8,8,999.9,0,2.9,8,6,999.9,86.9,*,69.8, ,0,I,999.9,0
94576099999,04/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,78.9,8,64.5,8,1015,8,14,8,999.9,0,4,8,7,999.9,86.4,*,70.7, ,0,I,999.9,0
94576099999,05/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,80.2,8,66.8,8,1015.6,8,14.6,8,999.9,0,3.5,8,7,999.9,88,*,71.6, ,0,I,999.9,0
94576099999,06/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,79.8,8,67.9,8,1015.7,8,14.7,8,999.9,0,3,8,7,999.9,85.3,*,72.9, ,0,I,999.9,0
94576099999,07/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,79.7,8,65.9,8,1014.9,8,13.9,8,999.9,0,3.1,8,7,999.9,85.5,*,74.3, ,0,I,999.9,0
94576099999,08/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,81,8,65.1,8,1014.4,8,13.4,8,999.9,0,2.8,8,6,999.9,89.6,*,75.4,*,0,I,999.9,0
94576099999,09/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,81.2,8,65.9,8,1015.1,8,14.1,8,999.9,0,3,8,6,999.9,88,*,74.3, ,0,I,999.9,0
94576099999,10/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,81.6,8,67.6,8,1012.8,8,11.9,8,999.9,0,4.1,8,6,999.9,87.8,*,75.2, ,0,I,999.9,0
94576099999,11/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,79.6,7,70.1,7,1010.1,7,9.2,7,999.9,0,3.6,7,7,999.9,87.3,*,74.7,*,0.59,G,999.9,10000
94576099999,12/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,76.5,8,63.1,8,1013.5,8,12.5,8,999.9,0,5.5,8,7,999.9,81.9,*,73.2,*,0,G,999.9,0
94576099999,13/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,76.3,8,61.8,8,1014.3,8,13.3,8,999.9,0,4.1,8,8,999.9,81.9,*,71.4,*,0,I,999.9,0
94576099999,14/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,78.2,8,66.2,8,1012.6,8,11.6,8,999.9,0,3.2,8,8.9,999.9,85.5,*,70.5, ,0.04,G,999.9,0
94576099999,15/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,77.3,8,69.4,8,1010.4,8,9.4,8,999.9,0,3.1,8,7,999.9,82.2,*,72, ,0.63,G,999.9,10000
94576099999,16/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,75.9,8,70.2,8,1006.8,8,5.9,8,999.9,0,2,8,4.1,999.9,80.6,*,72.5, ,1.22,G,999.9,110000
94576099999,17/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,76.2,8,69.1,8,1004.5,8,3.6,8,999.9,0,3.6,8,8,999.9,83.5,*,70.2,*,2.83,G,999.9,100000
94576099999,18/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,76.9,8,71.2,8,1004.2,8,3.3,8,999.9,0,2,8,6,999.9,82.4,*,69.3, ,0.87,G,999.9,110000
94576099999,19/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,81.1,8,73.3,8,1005.9,8,5,8,999.9,0,3.1,8,5.1,999.9,85.5,*,72.9, ,0.03,G,999.9,100000
94576099999,20/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,82.1,8,74.1,8,1007.7,8,6.8,8,999.9,0,3.3,8,7,999.9,89.1,*,77.7, ,0.12,G,999.9,10000
94576099999,21/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,82.5,8,70.6,8,1009.3,8,8.4,8,999.9,0,2.4,8,6,999.9,89.1,*,75.2,*,0.02,G,999.9,0
94576099999,22/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,84.2,8,74.6,8,1011.3,8,10.3,8,999.9,0,4.2,8,7,999.9,90.9,*,74.3, ,0,G,999.9,0
94576099999,23/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,81.5,8,73.8,8,1011.3,8,10.4,8,999.9,0,3.7,8,6,999.9,86,*,78.6,*,0.08,G,999.9,100000
94576099999,24/01/2020,-27.4833333,153.0333333,8,"BRISBANE, AS",Queensland,Australia,82.7,8,73.7,8,1011.1,8,10.1,8,999.9,0,3.2,8,6,999.9,87.3,*,78.1, ,0,G,999.9,0
