STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,City,Country,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
74614023112,01/01/2020,36.25,-115.03333,570,"LAS VEGAS NELLIS AFB, NV US",Nevada,United States,41.6,24,29.2,24,1018.8,24,950.6,16,10,24,3.3,24,8,999.9,55.9, ,32, ,0,I,999.9,0
74614023112,02/01/2020,36.25,-115.03333,570,"LAS VEGAS NELLIS AFB, NV US",Nevada,United States,47.3,23,28.3,23,1014.3,23,947.5,22,10,23,4.1,23,12,20,61.7, ,32, ,0,I,999.9,0
74614023112,03/01/2020,36.25,-115.03333,570,"LAS VEGAS NELLIS AFB, NV US",Nevada,United States,46.3,24,28.3,24,1023.6,24,956.5,24,10,24,2,24,8,999.9,61.7, ,34.3, ,0,I,999.9,0
74614023112,04/01/2020,36.25,-115.03333,570,"LAS VEGAS NELLIS AFB, NV US",Nevada,United States,45.6,24,33.2,24,1026.9,24,959.4,24,10,24,4.3,24,8.9,999.9,59.5, ,33.6, ,0,I,999.9,0
74614023112,05/01/2020,36.25,-115.03333,570,"LAS VEGAS NELLIS AFB, NV US",Nevada,United States,43.7,24,34,24,1027.2,24,959.6,24,10,24,3.3,24,8,999.9,58.3, ,31.6, ,0,I,999.9,0
74614023112,06/01/2020,36.25,-115.03333,570,"LAS VEGAS NELLIS AFB, NV US",Nevada,United States,46.4,24,28,24,1030.5,24,962.7,24,10,24,4.7,24,11.1,999.9,60.3, ,31.6, ,0,I,999.9,0
74614023112,07/01/2020,36.25,-115.03333,570,"LAS VEGAS NELLIS AFB, NV US",Nevada,United States,43.5,24,25.2,24,1027.2,23,959.8,24,10,24,1.9,24,8,999.9,60.3, ,29.8, ,0,I,999.9,0
74614023112,08/01/2020,36.25,-115.03333,570,"LAS VEGAS NELLIS AFB, NV US",Nevada,United States,48.3,24,26.6,24,1013.7,24,947.2,24,10,24,5.9,24,17.1,19,63, ,29.8, ,0,I,999.9,0
74614023112,09/01/2020,36.25,-115.03333,570,"LAS VEGAS NELLIS AFB, NV US",Nevada,United States,48.3,23,22.8,23,1010.5,23,944.4,22,10,23,3.3,23,13,999.9,63, ,36.5, ,0,I,999.9,0
74614023112,10/01/2020,36.25,-115.03333,570,"LAS VEGAS NELLIS AFB, NV US",Nevada,United States,47.5,24,19.2,24,1020.3,21,952.7,24,10,24,6.9,24,18.1,22.9,56.5, ,37, ,0,I,999.9,0
