STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,City,Country,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
94767099999,01/01/2020,-33.946111,151.177222,6.4,"SYDNEY INTERNATIONAL, AS",New South Wales,Australia,71.6,24,62.9,24,9999.9,0,999.9,0,5.5,24,12.9,24,17.1,999.9,79.2, ,65.3, ,0,G,999.9,0
94767099999,02/01/2020,-33.946111,151.177222,6.4,"SYDNEY INTERNATIONAL, AS",New South Wales,Australia,73.7,24,63.3,24,9999.9,0,999.9,0,6.1,24,7.8,24,14,999.9,79.9, ,66.4, ,0,G,999.9,10000
94767099999,03/01/2020,-33.946111,151.177222,6.4,"SYDNEY INTERNATIONAL, AS",New South Wales,Australia,78.3,24,68,24,9999.9,0,999.9,0,6.2,24,10.2,24,21,32.1,93.2,*,69.6, ,0,G,999.9,0
94767099999,04/01/2020,-33.946111,151.177222,6.4,"SYDNEY INTERNATIONAL, AS",New South Wales,Australia,85,24,61.1,24,9999.9,0,999.9,0,5.2,24,19.5,24,38.1,49.9,109.9, ,70.7,*,0,G,999.9,0
94767099999,05/01/2020,-33.946111,151.177222,6.4,"SYDNEY INTERNATIONAL, AS",New South Wales,Australia,71.2,24,59,24,9999.9,0,999.9,0,5.7,24,14,24,21,28.9,75.9, ,68,*,0,G,999.9,10000
94767099999,06/01/2020,-33.946111,151.177222,6.4,"SYDNEY INTERNATIONAL, AS",New South Wales,Australia,71.7,24,65.3,24,9999.9,0,999.9,0,6.1,24,7.5,24,14,999.9,78.8,*,66.7, ,0.06,G,999.9,10000
94767099999,07/01/2020,-33.946111,151.177222,6.4,"SYDNEY INTERNATIONAL, AS",New South Wales,Australia,76.4,24,68.5,24,9999.9,0,999.9,0,4.4,24,13.2,24,19,25.1,85.3, ,68, ,0.05,G,999.9,10010
94767099999,08/01/2020,-33.946111,151.177222,6.4,"SYDNEY INTERNATIONAL, AS",New South Wales,Australia,72,24,66.3,24,9999.9,0,999.9,0,3.6,24,15.7,24,22,29.9,76.3, ,69.8, ,0,G,999.9,10000
94767099999,09/01/2020,-33.946111,151.177222,6.4,"SYDNEY INTERNATIONAL, AS",New South Wales,Australia,73.4,24,67.5,24,9999.9,0,999.9,0,6.2,24,8.6,24,17.1,999.9,80.6,*,68.9, ,0,G,999.9,10000
94767099999,10/01/2020,-33.946111,151.177222,6.4,"SYDNEY INTERNATIONAL, AS",New South Wales,Australia,78,24,66.6,24,9999.9,0,999.9,0,5.5,24,21.2,24,38.1,49.9,88.7, ,66.2,*,0,G,999.9,10000
