Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20
,Afghanistan,33.0,65.0,99,99,22,32,100,74,15,0,1,39,100,100,76,91,17,46,3,16,78,82,82,42,69,95,12,9,38,0,0,12,45,0,5,96,17,32,0,0,0,66,88,98,100,24,2,26,22,28,43,1,1,72,5,32,23,31,91,47,41,0,0,0,64,34,94,2,0,32,97,98,90,79,14,48,86,91,70,51,63,91,6,82,96,86,60,39,17,15,67,100,35,15,18,63,75,35,56,23,59,66,92,98,92
,Albania,41.1533,20.1683,14,8,8,46,71,3,0,0,4,5,92,92,28,10,12,22,11,31,56,25,7,32,3,8,66,89,92,92,99,37,18,26,38,64,41,99,85,45,4,5,67,97,52,32,94,8,24,20,32,55,78,3,22,57,8,27,36,87,86,38,53,66,96,94,60,88,97,82,84,40,42,6,17,64,86,2,2,9,7,20,33,82,100,87,70,100,100,94,61,32,91,94,33,68,94,98,62,16,0,0,0,4,23
,Algeria,28.0339,1.6596,0,0,4,57,26,2,92,15,0,0,39,37,5,0,59,74,10,0,0,5,21,0,13,82,76,75,31,7,0,0,1,0,0,0,0,0,0,22,43,96,67,86,99,32,13,5,87,21,2,13,35,21,0,0,8,84,5,0,0,12,1,9,19,3,0,7,14,0,0,0,0,48,31,10,21,19,4,0,0,0,0,0,1,12,1,6,15,2,7,0,63,32,5,24,12,4,1,16,37,33,10,49,45
,Andorra,42.5063,1.5218,39,60,90,31,28,0,46,56,13,67,2,19,50,31,57,16,67,67,78,93,95,99,78,47,87,94,92,86,61,85,73,55,67,68,35,10,10,80,48,62,64,71,98,77,22,13,37,68,40,26,24,11,51,0,0,45,37,65,86,89,90,83,88,81,93,59,61,65,42,81,22,97,100,40,57,100,85,56,26,72,84,84,64,11,59,75,64,87,46,99,100,98,92,28,4,28,84,100,74,44,63,59,86
,Angola,-11.2027,17.8739,91,100,97,100,93,94,98,98,89,99,100,71,47,95,70,60,67,98,91,83,96,92,92,98,83,99,100,82,93,96,98,97,92,87,94,66,77,87,73,98,79,92,44,51,97,100,86,45,33,90,86,79,99,100,99,83,83,88,87,90,67,50,74,55,41,34,40,62,91,91,98,94,90,100,75,85,92,83,75,60,65,83,69,53,47,98,98,76,90,63,38,23,86,100,92,95,71,45,39,26,89,91,79
,Antigua and Barbuda,17.0608,-61.7964,20,15,9,9,22,22,16,35,32,38,27,35,35,45,54,36,25,21,38,59,41,45,41,24,20,22,24,19,16,11,11,2,13,13,18,12,33,45,41,23,40,15,33,23,17,39,56,33,21,22,26,19,17,9,2,8,9,38,16,7,25,4,6,13,16,30,7,12,3,42,37,47,26,5,12,22,8,3,9,15,49,34,54,46,56,17,10,5,12,26,32,35,16,22,20,23,39,19,20,22,8,17,16
,Argentina,-38.4161,-63.6167,27,42,15,0,48,50,26,5,59,9,8,0,16,80,16,4,2,0,1,31,65,20,3,9,11,25,53,8,57,53,6,8,12,17,33,84,57,76,4,54,0,24,0,5,67,0,0,5,44,0,2,0,0,0,1,39,23,14,20,24,0,6,17,5,1,59,68,83,56,53,65,45,45,49,34,6,9,82,32,0,0,41,78,19,26,20,0,6,0,44,94,56,64,0,0,5,41,5,5,0,0,0,64
,Armenia,40.0691,45.0382,59,65,95,90,73,24,27,57,82,52,35,72,77,4,62,26,47,37,92,77,14,35,32,81,4,10,4,39,68,69,82,99,55,12,77,88,75,66,96,99,92,31,80,92,46,72,86,97,5,53,98,62,95,87,71,74,0,6,74,78,97,96,40,1,41,78,96,16,0,36,52,51,96,100,89,87,99,100,81,62,51,62,2,68,80,72,88,83,99,66,84,71,89,62,96,27,94,100,38,21,56,99,60
Australian Capital Territory,Australia,-35.4735,149.0124,23,1,9,8,77,100,60,71,33,72,64,83,18,40,72,95,97,82,63,66,46,20,60,24,25,13,28,81,33,0,0,20,31,12,1,44,92,84,83,100,96,91,85,98,61,40,76,67,54,36,13,75,76,90,33,36,31,38,48,76,42,97,99,100,100,55,82,91,78,74,28,12,20,72,4,41,8,27,59,22,28,40,60,94,84,36,23,93,50,68,14,53,93,79,65,56,59,93,89,69,56,13,0
New South Wales,Australia,-33.8688,151.2093,35,74,50,9,56,89,83,69,88,63,85,92,64,49,81,88,99,99,94,66,16,15,36,65,71,55,53,59,69,4,26,2,60,72,76,67,99,97,99,99,97,41,77,92,33,11,79,57,32,13,15,88,78,97,59,48,65,70,10,82,40,92,99,99,98,39,71,75,62,74,12,41,10,68,71,60,31,5,9,5,43,37,84,95,89,84,28,78,54,81,4,43,94,66,42,6,33,87,96,98,78,2,0
