Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20
,Afghanistan,33.0,65.0,-3,2,0,-1,1,2,-5,-11,-13,-12,-1,0,-4,-8,-8,-9,-11,-11,-5,-2,-1,-3,-3,1,-1,-4,-4,-9,-13,-11,-7,-6,-6,0,-8,-8,-8,-10,-6,-4,1,4,5,0,-7,-5,-8,-6,-3,-5,-8,-2,0,1,2,0,1,3,4,3,1,-1,2,3,3,0,-2,-4,0,2,-4,0,0,-2,0,3,5,6,5,7,3,4,8,5,2,3,3,4,3,8,7,3,1,4,6,5,5,2,5,8,9,10,10
,Albania,41.1533,20.1683,-5,-8,-7,-7,-3,-8,-12,-13,-9,-7,0,2,2,2,0,-2,-3,-1,2,-1,-7,-7,-7,-4,4,6,6,6,6,4,0,5,5,6,7,1,-4,-5,-2,0,3,7,8,1,2,1,0,0,1,4,3,-1,-2,-3,0,3,5,3,2,-2,0,7,7,6,4,3,6,7,6,4,3,6,6,7,7,1,-1,0,0,1,3,5,4,1,1,3,5,6,6,5,5,4,2,4,5,5,2,-6,-5,-3,0,2,4
,Algeria,28.0339,1.6596,-4,-7,-8,-9,-9,-10,-1,-3,-5,-2,-1,1,-1,-1,-1,2,1,-2,-7,-10,-9,-7,-4,-6,-6,0,-5,-1,-9,-18,-15,-13,-3,-1,-1,-5,-5,-16,-18,-17,-17,-16,-10,3,-4,-6,-7,-7,-3,-7,-7,-11,-10,-10,-3,-8,-15,-14,-9,-12,-17,-22,-14,-9,-9,-14,-7,-9,-12,-11,-8,-5,-9,-14,-19,-17,-15,-11,-10,-10,-3,-5,-15,-7,0,0,-6,-7,3,-1,-9,-13,-15,-7,-9,-9,-10,-7,-8,-8,-9,-8,-8
,Andorra,42.5063,1.5218,-8,-7,-6,-4,-13,-7,-7,0,0,-1,-14,-19,-16,-14,-11,-2,0,-9,-7,-8,-2,2,2,-1,0,0,-1,0,-4,3,4,1,2,1,0,-17,-16,-15,-7,0,2,2,1,3,0,-1,-4,0,-3,-8,-12,-10,-15,-11,-11,-8,-5,-2,3,2,2,0,-2,0,3,-5,-4,-3,-1,2,-5,2,7,4,4,4,5,5,1,-1,0,2,3,0,0,-3,-4,0,0,0,2,3,3,-1,-2,-2,3,6,6,5,4,5,5
,Angola,-11.2027,17.8739,19,20,19,20,18,19,19,19,18,18,17,16,15,18,17,17,19,18,16,18,19,19,19,20,19,19,18,19,18,18,19,18,19,18,18,17,16,18,18,19,18,18,17,17,19,19,17,17,17,19,19,18,19,19,19,18,19,19,18,16,15,16,17,17,17,18,17,18,19,19,19,19,19,19,19,17,18,18,17,16,18,18,17,18,18,19,18,18,18,17,18,18,19,19,19,18,18,18,18,17,18,18,17
,Antigua and Barbuda,17.0608,-61.7964,22,22,22,21,21,21,21,21,22,22,21,21,21,20,21,21,21,21,21,21,21,21,21,21,22,21,21,20,21,21,21,21,21,21,21,20,21,21,21,21,21,21,21,21,20,21,21,21,21,21,20,20,20,20,19,21,21,21,20,20,21,20,19,20,21,20,20,20,19,19,20,20,21,21,21,20,19,20,21,21,20,21,21,21,21,20,21,21,21,21,20,20,19,20,21,21,23,23,22,22,22,22,22
,Argentina,-38.4161,-63.6167,15,13,9,11,13,10,1,-1,7,-3,-1,-1,5,11,5,-12,-10,-6,6,6,10,9,8,13,5,0,1,0,5,2,-3,1,8,3,14,16,9,17,12,13,7,4,3,9,15,3,-3,-1,9,0,-3,-4,3,2,6,1,0,0,-1,4,8,7,4,6,3,7,12,8,-5,2,8,16,13,16,-2,4,6,16,12,5,2,7,12,11,10,10,8,14,15,12,12,11,11,4,4,4,3,-5,-7,-3,4,5,9
,Armenia,40.0691,45.0382,-9,-9,-8,-8,-9,-11,-10,-10,-9,-10,-12,-11,-10,-14,-13,-11,-11,-15,-9,-10,-12,-13,-12,-13,-18,-13,-13,-11,-9,-8,-6,-8,-12,-10,-8,-6,-4,-4,-6,-17,-19,-19,-15,-12,-15,-16,-9,-8,-7,-5,-4,-5,-5,-4,-5,-7,-17,-12,-9,-4,-3,-5,-6,-9,-10,-9,-3,-2,-7,-13,-5,-2,-2,0,0,-1,-1,-2,-3,-3,-4,-4,-6,-2,-1,-2,-2,0,-1,-3,-3,-2,-2,-2,-2,-3,0,-2,-6,-4,-2,-3,-5
Australian Capital Territory,Australia,-35.4735,149.0124,4,7,9,6,12,13,14,15,14,14,12,10,8,13,14,15,15,13,13,14,12,10,6,6,11,9,11,9,12,9,8,12,15,4,1,9,13,13,13,13,16,17,16,18,17,17,16,16,16,9,8,12,12,13,13,13,10,5,4,11,10,7,12,14,15,15,12,11,11,10,11,10,10,7,4,8,8,8,11,8,9,7,7,10,11,7,10,9,12,13,10,10,14,11,9,5,8,8,10,9,11,6,2
New South Wales,Australia,-33.8688,151.2093,16,17,20,18,16,17,20,20,19,20,16,15,16,18,18,20,19,19,19,20,16,20,17,20,21,22,21,22,19,19,22,22,22,19,13,15,18,19,19,19,21,20,21,21,18,18,19,20,21,14,13,15,17,16,18,18,18,15,13,16,19,15,17,19,20,20,16,15,15,14,14,14,14,14,13,15,14,14,15,15,16,16,14,15,17,15,13,15,18,17,17,18,18,17,13,7,11,13,13,15,15,8,5
