Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20
,Afghanistan,33.0,65.0,71,95,24,14,83,91,12,3,1,2,75,88,34,0,3,3,4,3,22,24,40,9,41,74,11,6,7,0,3,2,4,2,4,84,5,4,0,3,2,3,97,99,100,87,2,4,3,5,7,5,5,6,3,5,5,3,2,55,25,2,4,2,69,34,36,2,1,2,19,45,6,5,2,0,0,6,18,12,11,90,3,42,100,98,18,17,9,11,70,98,94,35,2,2,52,5,63,1,4,39,13,28,42
,Albania,41.1533,20.1683,9,8,1,10,35,0,4,2,0,4,64,73,8,0,3,6,4,4,25,2,4,1,2,3,53,56,98,84,98,66,11,11,10,21,78,94,5,5,5,8,45,68,67,12,96,19,7,5,7,30,96,10,11,2,2,3,60,96,94,3,3,49,87,98,44,64,98,98,76,41,15,7,1,45,96,1,2,1,2,2,2,79,100,77,27,34,90,90,61,12,52,99,27,42,43,9,2,0,1,1,1,4,2
,Algeria,28.0339,1.6596,2,4,2,4,3,0,5,1,1,3,2,14,3,0,1,3,5,2,0,1,0,0,0,2,6,5,4,1,1,1,2,3,2,4,5,3,0,2,2,1,1,0,12,7,2,1,1,4,1,1,3,4,1,1,1,1,0,1,0,1,1,1,1,1,1,1,2,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,3,3,5,3,3,5,1,2,1,2,4,3,1,1,0,3,5,5,6,2
,Andorra,42.5063,1.5218,5,4,2,10,2,0,6,6,2,56,3,3,2,0,1,6,53,4,11,9,35,88,87,11,67,72,23,21,5,28,28,19,9,5,14,2,0,2,2,8,10,6,18,13,5,3,5,8,10,3,4,2,1,0,0,6,17,35,15,22,55,79,73,69,68,43,34,3,24,21,1,6,53,13,28,97,63,28,4,2,10,56,51,14,63,53,18,53,11,83,59,84,85,10,3,1,32,38,60,42,18,33,23
,Angola,-11.2027,17.8739,94,95,88,86,52,70,85,85,71,97,87,14,12,49,46,36,53,52,32,50,71,74,65,67,76,82,91,75,78,71,84,69,91,80,54,50,9,68,60,84,75,72,49,61,84,77,72,40,41,85,68,60,89,60,72,41,60,72,80,13,12,19,28,18,56,75,49,76,86,76,91,75,79,93,92,21,56,20,11,28,74,66,27,83,83,97,85,81,93,31,28,48,92,97,90,90,72,54,81,31,90,77,63
,Antigua and Barbuda,17.0608,-61.7964,62,57,51,11,20,24,15,31,46,44,22,45,68,71,98,85,36,28,56,64,56,56,18,21,50,34,69,60,16,16,13,9,15,16,17,15,34,23,36,33,54,45,42,57,41,70,75,49,42,17,30,17,23,27,16,17,23,36,11,12,20,9,9,18,28,9,19,23,7,15,20,27,23,25,35,59,10,11,28,19,57,65,99,77,84,18,27,42,27,14,12,25,5,6,22,10,10,12,8,10,9,8,7
,Argentina,-38.4161,-63.6167,25,6,5,4,20,15,2,6,26,1,5,5,8,46,1,3,4,6,2,2,39,33,5,11,8,3,5,6,17,8,6,9,10,3,50,87,15,55,8,7,6,6,2,34,82,11,4,4,55,7,2,5,6,4,3,25,4,4,2,5,3,2,6,4,2,5,7,26,2,6,3,39,11,15,1,3,0,53,60,2,1,6,3,3,5,5,5,5,5,36,94,95,65,1,0,1,2,1,0,1,2,1,10
,Armenia,40.0691,45.0382,20,34,55,36,18,0,20,6,27,24,12,16,41,1,3,38,21,8,33,28,14,3,23,40,8,14,16,1,20,26,24,49,9,6,52,53,4,54,68,57,33,12,20,43,19,7,20,42,28,19,59,31,10,36,37,51,3,1,7,41,65,51,12,5,1,0,7,9,8,0,10,11,8,80,56,70,93,72,66,44,56,21,5,24,43,16,13,68,82,61,43,62,82,41,86,2,79,82,10,22,64,89,31
Australian Capital Territory,Australia,-35.4735,149.0124,11,4,0,9,11,64,17,24,7,3,26,11,9,6,31,77,42,24,38,61,14,1,7,9,17,4,2,4,8,6,7,11,8,2,4,5,31,44,60,96,98,82,27,69,36,59,44,40,39,19,5,28,17,15,13,8,13,13,3,2,5,4,14,93,95,56,28,61,27,26,27,5,5,78,4,3,5,3,3,0,4,6,8,7,70,28,16,4,59,91,7,12,94,72,89,20,23,15,48,28,92,23,1
New South Wales,Australia,-33.8688,151.2093,14,13,18,10,11,56,72,52,40,8,32,41,30,27,4,87,99,98,76,73,12,3,8,51,59,49,49,34,37,7,6,8,61,41,20,15,88,100,100,100,96,45,93,96,27,35,39,62,39,32,9,27,71,21,10,12,17,11,4,9,7,4,37,94,99,69,72,61,74,35,16,15,6,97,63,94,39,5,4,1,20,7,46,44,99,99,21,45,77,98,9,51,86,90,70,1,13,25,67,56,97,5,2
