Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20
,Afghanistan,33.0,65.0,9,4,8,7,4,6,6,6,8,7,4,3,1,1,3,4,2,5,6,5,4,6,6,5,6,6,6,6,5,7,6,7,9,5,5,7,8,9,10,11,4,7,6,7,10,11,10,12,12,9,11,11,13,12,13,13,15,12,11,14,15,17,12,14,10,14,12,11,8,7,10,14,16,17,17,15,16,18,18,13,17,16,12,8,12,15,15,15,16,12,14,15,18,20,18,20,16,19,20,17,20,19,22
,Albania,41.1533,20.1683,10,8,11,10,9,6,7,10,11,11,10,8,14,13,13,14,13,13,12,12,12,11,13,13,13,12,10,11,10,11,12,16,15,15,16,6,5,8,10,10,11,15,14,16,10,15,16,15,15,15,12,13,12,15,18,20,17,7,8,10,14,18,17,10,12,12,11,12,11,13,16,22,22,21,11,14,17,20,18,21,19,18,7,6,11,14,11,13,15,18,16,6,11,14,15,16,16,20,21,23,23,23,22
,Algeria,28.0339,1.6596,16,17,18,20,21,18,17,19,18,17,17,15,17,17,17,17,19,21,22,22,24,26,25,25,24,27,23,21,21,24,25,26,24,24,26,27,22,22,24,24,27,28,26,26,27,26,27,27,24,24,25,27,26,24,24,26,27,27,28,29,30,30,29,29,30,32,24,22,23,24,24,26,28,31,32,29,30,31,30,24,26,28,30,24,25,23,28,29,25,26,29,31,31,28,28,28,29,30,31,32,34,35,36
,Andorra,42.5063,1.5218,13,15,12,11,14,15,14,14,12,7,11,13,12,12,12,11,7,8,2,6,9,7,8,9,7,8,9,11,12,13,14,14,17,17,11,12,12,13,12,12,18,15,12,14,16,17,17,15,13,15,17,17,19,21,21,14,8,12,16,14,11,6,6,12,11,4,7,15,8,17,22,19,16,16,16,7,14,16,16,15,15,12,11,14,7,6,10,11,13,5,10,10,10,14,17,16,15,11,14,15,16,16,14
,Angola,-11.2027,17.8739,28,26,24,23,26,26,23,22,26,21,20,28,29,27,29,29,29,26,28,29,26,26,28,25,25,25,21,27,22,27,25,25,24,25,25,27,29,27,27,24,27,25,31,31,26,24,25,29,30,25,29,32,25,26,26,30,27,27,28,28,30,30,29,30,29,27,30,28,27,27,25,28,26,24,27,28,27,28,29,29,27,28,29,28,29,23,27,29,24,29,30,30,25,24,25,27,28,29,28,29,25,27,28
,Antigua and Barbuda,17.0608,-61.7964,28,28,28,27,27,27,27,27,28,28,27,27,27,26,27,27,27,27,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,27,27,27,27,27,27,26,26,27,27,27,27,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,27,27,27,27,26,26,26,26,27,27,27,27,27,27,26,27,27,27,28,28,28,28,28,28,28,28
,Argentina,-38.4161,-63.6167,28,29,32,35,30,30,25,32,29,28,27,33,34,26,36,24,26,32,36,39,35,33,36,37,32,32,29,30,33,28,34,35,39,34,35,25,29,25,28,27,26,30,31,35,25,31,34,33,26,30,25,24,24,28,32,27,26,32,34,34,35,39,37,37,36,34,35,34,30,30,30,30,32,33,26,27,29,25,23,27,33,34,33,34,30,27,27,31,31,25,19,22,24,23,24,23,24,19,21,24,25,26,24
,Armenia,40.0691,45.0382,-3,-4,-5,-3,-4,-4,-2,-3,-4,-5,-5,-2,-5,-2,-1,-5,-5,-4,-5,-4,-4,-5,-5,-11,-7,-4,-3,-2,-2,-4,-2,-7,-5,-3,-5,-3,0,-2,-4,-14,-13,-12,-9,-8,-9,-4,-3,-6,-2,0,-1,-1,0,-1,0,-1,-2,2,2,1,0,-1,1,3,5,4,3,4,5,5,5,4,5,1,3,0,1,1,0,0,0,0,2,3,2,3,3,4,0,0,2,2,1,3,0,4,4,-1,0,2,1,0,2
Australian Capital Territory,Australia,-35.4735,149.0124,32,31,34,39,26,22,32,30,26,33,27,23,28,29,28,28,23,25,28,23,26,29,28,27,29,30,32,31,32,34,38,38,31,26,24,28,23,22,20,15,24,26,26,24,25,26,23,22,28,20,23,24,22,25,28,27,26,25,25,26,28,28,21,17,17,23,21,16,19,20,22,23,24,16,19,20,22,25,27,26,22,24,20,19,24,20,20,20,22,22,23,23,16,18,15,13,19,16,15,18,18,14,16
New South Wales,Australia,-33.8688,151.2093,23,24,27,37,24,23,28,25,25,28,22,21,24,26,26,27,22,22,24,27,28,29,38,27,28,32,27,29,26,28,30,34,28,31,21,25,24,21,22,21,26,28,25,25,25,26,25,24,29,27,22,24,23,25,27,28,31,25,24,25,28,33,23,25,25,26,23,22,22,23,24,24,24,18,20,21,23,25,29,33,24,27,21,22,24,21,22,23,24,26,25,24,25,25,25,23,22,21,20,22,21,25,20
Northern Territory,Australia,-12.4634,130.8456,33,33,33,33,33,32,32,33,31,28,28,32,33,33,33,33,32,33,32,31,30,28,31,31,31,32,33,33,32,32,33,33,32,32,31,32,33,33,33,33,33,32,33,33,33,33,33,34,34,33,32,33,33,32,33,33,31,30,31,32,32,32,31,32,32,32,32,29,28,32,32,33,33,33,34,33,32,31,33,33,33,33,33,31,30,32,33,34,34,34,33,33,33,33,33,31,33,33,32,32,31,30,33
Queensland,Australia,-28.0167,153.4,29,30,29,30,31,29,28,30,29,29,30,25,27,27,28,28,28,26,28,31,33,32,30,31,29,28,29,29,31,29,30,31,32,33,25,25,23,26,27,27,29,28,27,26,29,30,31,30,30,32,30,28,27,27,26,27,29,29,29,28,30,32,30,28,29,30,29,27,23,24,26,25,26,27,26,25,26,26,27,28,29,30,28,26,26,27,24,27,26,28,29,28,27,29,29,27,26,26,25,26,25,29,24
South Australia,Australia,-34.9285,138.6007,25,29,37,22,17,25,29,32,36,23,23,27,31,30,25,22,22,24,21,21,25,23,18,22,24,24,25,28,34,39,34,22,23,21,24,26,28,29,31,29,29,26,24,28,23,24,24,26,21,21,22,23,25,29,30,25,21,20,23,26,27,21,20,24,21,22,24,24,25,28,30,30,22,21,23,27,30,31,28,23,21,22,22,20,21,22,25,28,23,21,23,22,23,23,17,19,20,20,20,21,21,19,18
Tasmania,Australia,-41.4545,145.9707,13,18,20,17,16,19,18,21,18,16,8,20,16,21,20,14,16,15,16,14,17,16,8,12,14,13,15,13,19,27,27,18,10,7,14,18,17,21,19,16,15,17,21,20,16,18,17,16,13,16,13,11,15,18,17,20,7,10,12,17,13,9,17,13,13,15,14,13,14,14,14,17,11,8,13,11,15,14,16,10,13,8,12,14,9,11,12,15,12,9,11,14,10,11,6,4,9,11,13,14,12,7,8
Victoria,Australia,-37.8136,144.9631,25,25,31,27,16,19,22,25,31,33,18,20,31,32,34,18,24,28,28,21,22,30,20,23,26,24,23,24,28,37,40,31,23,16,20,21,26,25,29,27,24,26,26,30,31,21,25,27,21,18,18,19,22,30,26,30,18,21,21,23,31,18,20,25,19,18,20,21,21,23,29,29,28,17,20,26,28,28,31,22,18,18,19,19,18,21,26,27,26,22,22,25,20,23,16,17,17,17,19,22,22,15,16
Western Australia,Australia,-31.9505,115.8605,27,23,20,25,31,30,28,26,25,31,33,29,32,32,33,31,26,30,29,28,24,24,26,29,30,32,35,32,26,21,22,26,33,36,38,32,28,26,26,26,31,32,31,32,36,26,25,30,32,33,32,30,29,30,30,32,29,29,29,26,28,29,31,31,30,24,25,29,32,32,32,29,32,28,26,25,23,22,25,29,30,31,31,32,32,33,28,22,22,23,25,25,23,24,27,26,31,32,31,31,32,35,27
,Austria,47.5162,14.5501,3,6,6,2,0,2,3,4,9,6,1,5,6,6,7,7,6,2,0,2,9,7,5,8,6,6,6,6,2,6,7,10,8,3,3,-2,1,3,6,6,6,4,3,5,2,6,8,10,5,5,4,3,10,9,5,12,0,3,0,5,6,7,4,3,4,5,3,6,5,6,9,14,6,5,7,12,11,14,16,16,5,0,-1,1,1,3,9,12,6,0,1,8,11,9,10,13,15,16,18,18,17,17,17
,Azerbaijan,40.1431,47.5769,13,11,6,8,11,10,10,10,9,9,8,10,12,11,8,9,8,9,4,7,8,11,13,9,8,14,11,12,14,18,17,5,12,15,18,14,22,24,15,5,4,5,10,12,13,10,11,9,12,15,12,16,10,18,15,17,13,16,22,19,18,9,17,18,20,19,18,18,18,18,21,26,21,21,18,13,9,9,13,14,10,14,18,20,20,19,20,19,17,21,22,23,17,20,11,18,18,6,10,12,14,17,19
,Bahamas,25.0343,-77.3963,26,25,26,27,27,23,23,23,24,25,25,26,26,26,26,26,25,25,24,25,25,23,21,23,24,24,24,24,25,25,25,25,27,22,22,24,25,26,27,24,24,26,26,26,26,27,25,26,26,27,27,27,26,23,22,24,26,26,25,21,21,22,23,25,26,26,27,23,22,23,24,25,25,25,26,25,25,25,26,26,26,26,26,26,26,26,27,25,26,26,26,27,27,25,25,26,26,25,26,27,29,29,27
,Bahrain,26.0275,50.55,21,22,24,26,18,19,20,20,20,20,17,17,18,18,19,19,20,21,21,21,21,22,15,17,18,15,17,18,18,20,19,20,19,18,18,19,21,23,25,20,19,16,13,17,19,20,20,23,22,23,22,21,21,23,25,27,21,20,21,21,24,21,21,21,22,22,24,23,22,23,23,23,24,25,26,24,26,27,24,25,24,22,21,22,23,25,27,29,26,24,25,27,29,28,27,27,28,30,31,32,33,31,26
,Bangladesh,23.685,90.3563,28,27,20,24,22,24,23,24,20,24,23,24,24,24,26,26,28,28,27,25,24,25,24,24,24,24,23,25,25,23,25,26,24,24,26,26,26,26,27,27,27,27,27,27,27,29,28,28,29,29,29,30,30,31,30,24,25,27,29,30,31,31,30,30,30,29,26,30,29,30,32,33,34,34,33,33,32,32,33,33,33,29,30,32,33,34,36,36,36,36,36,37,36,36,36,35,36,38,35,35,36,36,33
,Barbados,13.1939,-59.5432,26,26,26,26,25,25,25,26,26,25,25,25,25,25,25,25,26,26,25,25,25,25,24,25,26,26,24,26,26,26,26,26,26,26,25,25,26,26,26,26,26,25,25,26,25,25,25,25,26,25,25,25,25,26,26,26,26,26,25,25,24,24,25,26,26,25,25,25,26,25,25,25,25,25,24,25,25,26,26,25,25,25,25,25,26,26,25,25,26,26,25,25,26,26,27,28,28,28,28,27,27,27,28
,Belarus,53.7098,27.9534,0,2,2,3,1,0,0,0,3,2,5,2,3,4,5,5,3,1,1,1,3,4,2,3,5,3,1,2,1,3,2,3,7,3,2,0,4,-2,1,2,3,3,3,3,4,4,5,10,9,6,6,6,6,6,5,5,8,4,3,4,5,8,9,9,7,5,6,9,8,8,7,11,9,2,3,8,7,13,10,10,3,1,2,5,9,13,16,18,15,1,4,5,9,9,8,11,15,19,16,19,10,10,13
,Belgium,50.8333,4.0,5,6,10,8,8,7,9,12,13,9,8,10,9,11,13,12,11,8,9,7,4,4,6,4,5,10,10,7,9,11,13,11,13,12,7,9,10,11,11,13,9,8,9,10,11,13,17,11,9,8,11,9,12,13,12,9,6,4,6,10,10,8,8,10,7,7,11,9,11,12,13,10,11,10,12,13,15,17,13,10,11,11,12,14,13,12,14,15,7,9,10,11,12,11,16,21,20,20,25,23,22,23,24
,Benin,9.3077,2.3158,34,31,31,33,35,35,35,36,37,36,35,35,37,36,37,36,35,35,34,35,36,36,35,35,34,35,35,36,36,37,36,36,35,35,36,35,36,36,37,37,36,36,34,35,36,37,37,37,38,37,37,38,39,38,38,37,39,39,39,40,39,37,38,38,39,38,39,38,38,39,38,40,38,37,38,39,38,39,39,38,37,38,36,29,34,35,36,37,39,37,37,39,37,38,38,38,37,38,36,34,35,37,37
