STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,City,Country,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72254413958,01/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,54,24,30.8,24,1017.3,24,993.3,23,10,24,2.2,23,7,999.9,57.9, ,50, ,0,G,999.9,0
72254413958,02/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,54.9,24,48.7,24,1005.1,19,982.1,24,8,24,3.4,23,8,22.9,60.1, ,51.1, ,0,G,999.9,10000
72254413958,03/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,55.7,24,43.8,24,1011,24,987.4,23,9.9,24,4.8,24,11.1,25.1,66, ,48.9, ,0,G,999.9,0
72254413958,04/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,55.3,24,30.7,24,1025.8,24,1.8,23,10,24,4.8,24,8.9,15.9,73, ,44.1, ,0,G,999.9,0
72254413958,05/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,58.2,24,32.8,24,1026.1,24,2.1,23,10,24,2.3,24,8.9,19,75.9, ,45, ,0,G,999.9,0
72254413958,06/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,59,24,40.4,24,1020.7,24,996.9,23,10,24,1.6,24,6,999.9,75.9, ,42.1, ,0,G,999.9,0
72254413958,07/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,57.9,24,25.2,24,1027.7,24,3.8,23,10,24,4.1,24,12,22.9,69.1, ,43, ,0,G,999.9,0
72254413958,08/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,51.5,24,28.7,24,1026.3,24,2,23,10,24,2.4,22,9.9,21,71.1, ,37, ,0,G,999.9,0
72254413958,09/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,66.9,24,57.2,24,1016.3,21,992.6,23,9.8,24,6.7,23,8.9,24.1,78.1, ,62.1, ,0,G,999.9,10000
72254413958,10/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,71.7,22,62.3,22,1009.2,17,986.9,21,10,22,8.6,19,14,33,77, ,69.1, ,0,G,999.9,0
72254413958,11/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,56.1,7,34.7,7,9999.9,0,997.4,7,10,7,5,6,7,15,60.1, ,52, ,0.74,G,999.9,0
72254413958,12/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,47.3,24,36.7,24,1022.2,19,998,24,9.9,24,2.4,24,6,999.9,63, ,36, ,0,G,999.9,0
72254413958,13/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,55.7,24,50.8,24,1021.6,12,997.4,23,5.2,24,1.7,24,5.1,999.9,60.8,*,53.1,*,0,G,999.9,110000
72254413958,14/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,64.1,24,60.2,24,1018.9,12,995.6,24,2.8,24,0.8,24,6,999.9,77, ,60.1, ,0.01,G,999.9,100000
72254413958,15/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,72.5,24,65.6,24,1016.8,14,993.7,23,5.8,24,3.2,23,8,20,82, ,66.9, ,0,G,999.9,10000
72254413958,16/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,65.6,24,60.4,24,1022.6,19,999.1,24,8.1,24,4.3,23,11.1,17.1,78.1, ,57, ,0.01,G,999.9,10000
72254413958,17/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,54.6,24,51.9,24,1022.9,14,999.2,23,6.2,24,1.8,24,4.1,999.9,57.9, ,50, ,0.33,G,999.9,10000
72254413958,18/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,63.2,24,54.3,24,1021.9,16,997.5,23,6.2,24,3.2,24,11.1,20,70, ,55.9, ,0.08,G,999.9,10000
72254413958,19/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,50.3,24,23.5,24,1031.3,24,7.1,23,10,24,7.2,23,11.1,22,62.1, ,41, ,0,G,999.9,0
72254413958,20/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,50,4,23.5,4,1033.4,4,8.7,4,999.9,0,999.9,0,999.9,999.9,52,*,48,*,0,G,999.9,0
72254413958,22/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,52.3,24,45.9,24,1018.3,6,995.6,24,5.9,24,5.8,24,11.1,22,57.9, ,46.9, ,0.2,G,999.9,10000
72254413958,23/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,57.2,24,50.1,24,1015.2,16,990.5,24,6.4,24,3.7,24,9.9,19,66.9, ,50, ,0.69,G,999.9,110000
72254413958,24/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,53.6,24,38.2,24,1020.7,24,996.7,23,10,24,1.4,24,6,999.9,69.1, ,42.1, ,0,G,999.9,0
72254413958,25/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,54.6,24,40.2,24,1019.4,24,995.4,23,10,24,2.2,22,8.9,21,66.9, ,43, ,0,G,999.9,0
72254413958,26/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,63.6,24,52.6,24,1015.6,18,992,24,7.1,24,2.3,24,8.9,15,79, ,55.9, ,0.02,G,999.9,110000
72254413958,27/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,57.6,24,48.6,24,1015.4,21,992.1,23,8.6,24,2.8,24,8,17.1,72, ,46.9, ,0,G,999.9,0
72254413958,28/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,59.7,24,50,24,1012.1,15,989,23,7.5,24,6.2,24,15.9,28.9,73, ,55, ,0.29,G,999.9,10010
72254413958,29/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,52.8,24,36.3,24,1017,24,993.1,23,10,24,6.8,21,11.1,22,63, ,45, ,0,I,999.9,0
72254413958,30/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,46.7,24,38.5,24,1019.5,20,995.4,24,9.9,24,3.6,24,7,999.9,57, ,44.1, ,0,G,999.9,10000
72254413958,31/01/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,50.4,24,38.1,24,1021.3,22,996.9,24,10,24,3.7,24,6,999.9,63, ,46, ,0.01,G,999.9,0
72254413958,01/02/2020,30.3208,-97.7604,204.2,"AUSTIN CAMP MABRY, TX US",Texas,United States,54,24,33.5,24,1024.3,24,0.1,23,10,24,4.4,23,8,20,73.9, ,42.1, ,0,G,999.9,0
