Country.Code,Country,Indicator_GDP,GDP_pc,Indicator_unemployment,Unemployment,Indicator.Name.Communicable,Death_disease,Indicator.Name.Population1564,Age_1564,Indicator.Name.65up,Age_65up
ABW,Aruba,"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),68.64660589,Population ages 65 and above (% of total population),13.55094714
AFG,Afghanistan,"GDP per capita, PPP (constant 2011 international $)",1734.723214,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.11800003,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",36.4,Population ages 15-64 (% of total population),54.32489755,Population ages 65 and above (% of total population),2.58492694
AGO,Angola,"GDP per capita, PPP (constant 2011 international $)",5725.327238,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.886000156,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",63.4,Population ages 15-64 (% of total population),50.97470164,Population ages 65 and above (% of total population),2.216373648
ALB,Albania,"GDP per capita, PPP (constant 2011 international $)",12316.0715,"Unemployment, total (% of total labor force) (modeled ILO estimate)",12.33100033,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.9,Population ages 15-64 (% of total population),68.58239036,Population ages 65 and above (% of total population),13.74473591
AND,Andorra,"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),NA,Population ages 65 and above (% of total population),NA
ARB,Arab World,"GDP per capita, PPP (constant 2011 international $)",15590.39835,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10.33709542,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",19.97340575,Population ages 15-64 (% of total population),62.6616874,Population ages 65 and above (% of total population),4.557876424
ARE,United Arab Emirates,"GDP per capita, PPP (constant 2011 international $)",66616.05028,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.34800005,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.5,Population ages 15-64 (% of total population),84.31148965,Population ages 65 and above (% of total population),1.085000985
ARG,Argentina,"GDP per capita, PPP (constant 2011 international $)",18288.2446,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.788999557,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",15.9,Population ages 15-64 (% of total population),64.12127729,Population ages 65 and above (% of total population),11.11778888
ARM,Armenia,"GDP per capita, PPP (constant 2011 international $)",9177.744159,"Unemployment, total (% of total labor force) (modeled ILO estimate)",16.98999977,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.8,Population ages 15-64 (% of total population),68.11276042,Population ages 65 and above (% of total population),11.25381766
ASM,American Samoa,"GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,Population ages 15-64 (% of total population),NA,Population ages 65 and above (% of total population),NA
ATG,Antigua and Barbuda,"GDP per capita, PPP (constant 2011 international $)",23840.7299,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",11.9,Population ages 15-64 (% of total population),69.11908273,Population ages 65 and above (% of total population),8.79982552
AUS,Australia,"GDP per capita, PPP (constant 2011 international $)",45377.75514,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.268000126,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.6,Population ages 15-64 (% of total population),65.15290773,Population ages 65 and above (% of total population),15.65647523
AUT,Austria,"GDP per capita, PPP (constant 2011 international $)",46260.38238,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.673999786,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.6,Population ages 15-64 (% of total population),66.70048591,Population ages 65 and above (% of total population),19.00156646
