"","country_region_code","country_region","sub_region_1","sub_region_2","date.x","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","Movement","Date","Country","Province","DateLockDown","Type","Reference","Lock","Date_1confirmed","Date_1death","TotalCases","TotalDeaths","Google","DaysDuration","DaysLockDownStart","Days_LockDown_1case","Days_LockDown_1death","Democracy","Democraticness","Civil","Opression","Wave","Temperature","TemperatureBfr","TemperatureAftr","TemperatureDif","Humidity","HumidityBfr","HumidityAftr","HumidityDif","Country.Code.x","Indicator_GDP","GDP_pc","Indicator_unemployment","Unemployment","Indicator.Name.Communicable","Death_disease","Indicator.Name.Population1564","Age_1564","Indicator.Name.65up","Age_65up","log_GDP_pc","ï..Country.Name","Indicator.Name","Hospital_b1000","ElectionYear","ElectionWin","Country.Code.y","Country.Code","ROL","isocode","patience","risktaking","posrecip","negrecip","altruism","trust","Region","Population","Area_sq_mi","Pop_Density_sq_mi","Coastline","Net_migration","Infant_mortality_per_1000_births","GDP_pc_2","Literacy","Phones_per_1000","Arable","Crops","Other","Climate","Birthrate","Deathrate","Agriculture","Industry","Service","polity2","date.y","PDI","IDV","MAS","UAI","LTO","X","COL","Entity","Entity2","TL","Median_Age","Population.density","GDP.capita","Government.efficiency","CaseLog","Gini","Underreporting","Authoritarian","Continent","Days","X.Intercept.","log_day","Ztests_per_mil","TL_c","TL_l","TL_h","TL_2","Government.efficiency_c","Government.efficiency_l","Government.efficiency_h","Government.efficiency_2","ZGDP.capita","ZGini","ZMedian_Age","ZUnderreporting","Zlog_PopDensity","Authoritarianism","Europe","Africa","Asia","SouthA","NorthA","Mortality.Likelihood","Total_Cases","Total_Deaths","Death_pc","Confirmed_pc","Log_Death_pc","Google_pc","Log_Google_pc"
"1","AE","United Arab Emirates","","","2020-04-26",-56,-26,-73,-69,-49,30,-54.6,2020-04-26,"United Arab Emirates","",2020-03-24,"Full","https://uk.reuters.com/article/uk-health-coronavirus-saudi/saudi-reports-first-coronavirus-death-uae-gears-up-for-lockdown-idUKKBN21B1YM","Yes",2020-01-27,2020-03-22,11380,89,0,5,62,62,7,NA,NA,NA,NA,NA,26.6229508196721,23.9375,29.5862068965517,5.64870689655172,46.1311475409836,50.46875,41.3448275862069,-9.1239224137931,"ARE","GDP per capita, PPP (constant 2011 international $)",66616.05028,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2.34800005,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",6.5,"Population ages 15-64 (% of total population)",84.31148965,"Population ages 65 and above (% of total population)",1.085000985,11.106700822689,"United Arab Emirates","Hospital beds (per 1,000 people)",1.2,NA,NA,NA,"ARE",0.8064476,"ARE",-0.091318652,0.086515002,0.073196009,0.2219048,0.15418167,0.50710827,"NEAR EAST                          ",2602713,82880,31.4,1.59,1.03,14.51,23200,77.9,475.3,0.6,2.25,97.15,1,18.96,4.4,0.04,0.585,0.375,-8,NA,80,38,52,68,NA,NA,62,"UAE","UAE",1.801248703,30.3,NA,NA,NA,NA,NA,NA,NA,"Asia",NA,NA,NA,NA,1.541751115,2.709607048,0.373895181,2.376996499,NA,NA,NA,NA,NA,NA,-0.284556634,NA,NA,0,0,0,1,0,0,0.005561735,1798,10,3.41950879716665e-05,0.00437236068671421,-10.2834285507705,0,NA
"2","AF","Afghanistan","","","2020-04-26",-47,-27,-23,-48,-37,17,-36.4,2020-04-26,"Afghanistan","",2020-03-24,"Full","https://www.thestatesman.com/world/afghan-govt-imposes-lockdown-coronavirus-cases-increase-15-1502870945.html","Yes",2020-02-25,2020-03-24,1827,60,0,5,62,33,5,NA,NA,NA,NA,NA,11.8524590163934,8.5,15.551724137931,7.05172413793103,51.5245901639344,51.8125,51.2068965517241,-0.605603448275865,"AFG","GDP per capita, PPP (constant 2011 international $)",1734.723214,"Unemployment, total (% of total labor force) (modeled ILO estimate)",11.11800003,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",36.4,"Population ages 15-64 (% of total population)",54.32489755,"Population ages 65 and above (% of total population)",2.58492694,7.45860314881883,"Afghanistan","Hospital beds (per 1,000 people)",0.5,2017,31.6,3,"AFG",-1.668478,"AFG",-0.20136012,0.12076426,0.2896409,0.25471246,0.16645546,0.3159644,"ASIA (EX. NEAR EAST)         ",31056997,647500,48,0,23.06,163.07,700,36,3.2,12.13,0.22,87.65,1,46.6,20.34,0.38,0.24,0.38,-1,"19/10/2015",NA,NA,NA,NA,NA,NA,NA,"Afghanistan","Afghanistan",NA,NA,60,513.108,NA,0.5149,NA,NA,NA,"Asia",30,-5.904016399,2.063881438,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.76168678,NA,NA,NA,-0.245582277,0,0,0,1,0,0,0.020771513,337,7,1.93193179623902e-06,5.88273231954783e-05,-13.1569901249508,0,NA
"3","AG","Antigua and Barbuda","","","2020-04-26",-62,-43,-42,-77,-53,NA,-55.4,2020-04-26,"Antigua & Barbuda","",NA,"None","","No",2020-03-15,2020-04-10,24,3,NA,0,NA,14,-12,NA,NA,NA,NA,NA,25.983606557377,25.9375,26.0344827586207,0.0969827586206904,74.7540983606557,75.40625,74.0344827586207,-1.37176724137932,"ATG","GDP per capita, PPP (constant 2011 international $)",23840.7299,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",11.9,"Population ages 15-64 (% of total population)",69.11908273,"Population ages 65 and above (% of total population)",8.79982552,10.0791507373213,"Antigua and Barbuda","Hospital beds (per 1,000 people)",3.9,NA,NA,NA,"ATG",0.3933258,NA,NA,NA,NA,NA,NA,NA,"LATIN AMER. & CARIB    ",69108,443,156,34.54,-6.15,19.46,11000,89,549.9,18.18,4.55,77.27,2,16.93,5.37,0.038,0.22,0.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antigua and Barbuda","Antigua and Barbuda",NA,NA,222,18109.1,NA,0.4293,NA,NA,NA,"North America",16,1.511679187,1.0991628,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.096379936,NA,NA,NA,0.612163376,0,0,0,0,0,1,NA,NA,NA,4.34103142906755e-05,0.000347282514325404,-10.0448134886266,NA,NA
"4","AO","Angola","","","2020-04-26",-51,-23,-41,-63,-9,19,-37.4,2020-04-26,"Angola","",2020-03-24,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Angola","Yes",2020-03-22,2020-03-30,27,2,NA,5,62,7,-1,NA,NA,NA,NA,NA,23.3770491803279,22.4375,24.4137931034483,1.97629310344828,85.3770491803279,88.46875,81.9655172413793,-6.50323275862068,"AGO","GDP per capita, PPP (constant 2011 international $)",5725.327238,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.886000156,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",63.4,"Population ages 15-64 (% of total population)",50.97470164,"Population ages 65 and above (% of total population)",2.216373648,8.65265498626488,"Angola","Hospital beds (per 1,000 people)",NA,2017,49.57,4,"AGO",-1.048023,NA,NA,NA,NA,NA,NA,NA,"SUB-SAHARAN AFRICA                 ",12127071,1246700,9.7,0.13,0,191.19,1900,42,7.8,2.41,0.24,97.35,NA,45.11,24.2,0.096,0.658,0.246,-2,"01/01/2016",NA,NA,NA,NA,NA,NA,NA,"Angola","Angola",NA,NA,26,3037.98,NA,NA,NA,NA,1,"Africa",14,-3.340855992,0.686378796,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.63856166,NA,NA,NA,-0.784883034,1,0,1,0,0,0,0.142857143,14,2,1.64920284543564e-07,2.22642384133811e-06,-15.6178036037662,NA,NA
"5","AR","Argentina","","","2020-04-26",-88,-52,-95,-72,-47,25,-70.8,2020-04-26,"Argentina","",2020-03-20,"Full","https://www.bloomberg.com/news/articles/2020-03-20/argentina-orders-exceptional-lockdown-in-bid-to-contain-virus","Yes",2020-03-04,2020-03-08,4114,207,2,9,58,25,21,8.653581943,6.493069307,2.478174603,7.417879418,6,31,30.3125,31.7586206896552,1.44612068965517,35.2131147540984,36.75,33.5172413793103,-3.23275862068966,"ARG","GDP per capita, PPP (constant 2011 international $)",18288.2446,"Unemployment, total (% of total labor force) (modeled ILO estimate)",9.788999557,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",15.9,"Population ages 15-64 (% of total population)",64.12127729,"Population ages 65 and above (% of total population)",11.11778888,9.81401376083579,"Argentina","Hospital beds (per 1,000 people)",4.9,2017,34.33,7,"ARG",-0.2400078,"ARG",-0.22930798,0.041503169,0.15967931,-0.14045727,0.027346682,-0.20673333,"LATIN AMER. & CARIB    ",39921833,2766890,14.4,0.18,0.61,15.18,11200,97.1,220.4,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547,9,"01/07/2010",49,46,56,86,NA,NA,54,"Argenti","Argentina",-1.497120258,31.7,16,9887.79,2.336128838,1.0001,42.4,19,NA,"South America",29,-4.710198698,2.306821791,NA,-1.756617846,-0.588761913,-2.92447378,3.085706258,-1.297225357,-0.501515521,-2.092935193,1.682793627,-0.304531389,0.652779339,-0.184475306,-0.54466899,-1.090995782,0,0,0,0,1,0,0.030323915,1451,44,5.18513265660923e-06,0.000103051380431354,-12.1697151319217,5.00979000638573e-08,-16.8092867446271
"6","AT","Austria","","","2020-04-26",-73,-36,23,-50,-34,8,-34,2020-04-26,"Austria","",2020-03-16,"Full","https://www.reuters.com/article/us-health-coronavirus-austria/austria-close-to-standstill-starts-biggest-repatriation-effort-ever-idUSKBN21427X","Yes",2020-02-26,2020-03-13,15314,569,4,13,54,32,16,NA,NA,NA,NA,NA,5.95081967213115,4.9375,7.06896551724138,2.13146551724138,82.2295081967213,81.1875,83.3793103448276,2.19181034482759,"AUT","GDP per capita, PPP (constant 2011 international $)",46260.38238,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.673999786,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",2.6,"Population ages 15-64 (% of total population)",66.70048591,"Population ages 65 and above (% of total population)",19.00156646,10.7420412016397,"Austria","Hospital beds (per 1,000 people)",7.6,NA,NA,NA,"AUT",1.875834,"AUT",0.60828501,-0.061829153,0.16104659,-0.055415452,-0.03536313,0.15462811,"WESTERN EUROPE                     ",8192880,83870,97.7,0,2,4.66,30000,98,452.2,16.91,0.86,82.23,3,8.74,9.76,0.018,0.304,0.678,10,"01/07/2011",11,55,79,70,NA,NA,45,"Austria","Austria",0.730423398,44,107,50022.61,4.312938023,2.3278,30.5,42,NA,"Europe",39,-6.019597744,3.008053676,1.712210164,0.47092581,1.638781743,-0.696930124,0.221771118,0.679583828,1.475293664,-0.116126008,0.461834179,1.652638924,-0.8887451,0.694810651,0.221719531,0.132412254,0,1,0,0,0,0,0.017199224,11861,204,6.94505473044888e-05,0.00186918397437775,-9.57489560824078,4.88228803546494e-07,-14.5324816812472
"7","AU","Australia","","","2020-04-26",-36,-3,-34,-55,-32,13,-32,2020-04-26,"Australia","Queensland",NA,"None","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia","No",2020-01-25,2020-03-01,6738,88,6,0,NA,64,28,9.112033195,7.004163775,2.133242692,7.700908456,6,24.0947176684882,24.7951388888889,23.3218390804598,-1.47329980842912,66.4845173041894,66.7118055555556,66.2337164750958,-0.478089080459768,"AUS","GDP per capita, PPP (constant 2011 international $)",45377.75514,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.268000126,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",4.6,"Population ages 15-64 (% of total population)",65.15290773,"Population ages 65 and above (% of total population)",15.65647523,10.7227772890627,"Australia","Hospital beds (per 1,000 people)",NA,NA,NA,NA,"AUS",1.715279,"AUS",0.65700376,0.13713655,0.069660023,0.022189751,0.15533145,0.29897258,"OCEANIA                            ",20264082,7686850,2.6,0.34,3.98,4.69,29000,100,565.5,6.55,0.04,93.41,1,12.14,7.51,0.038,0.262,0.7,10,"01/07/2016",36,90,61,51,31,NA,10,"Australia","Australia",0.24708734,38.7,3,53825.16,4.25568066,1.5923,34.7,100,NA,"Australia",71,-2.854273334,2.008737304,-2.754699966,-0.012410248,1.155445685,-1.180266182,0.000154014,0.622326465,1.418036301,-0.173383371,0.387290229,1.838069879,-0.344677651,0.315931336,2.154351455,-2.048405696,0,0,0,0,0,0,0.005979599,5686,34,4.34265909504314e-06,0.000332509511163644,-12.3470237027623,2.96090392843851e-07,-15.0326010480125
"8","AW","Aruba","","","2020-04-26",-71,-29,-40,-71,-57,NA,-53.6,2020-04-26,"Aruba","",2020-03-16,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Aruba","Yes",2020-03-13,2020-04-16,100,2,NA,13,54,16,-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABW","GDP per capita, PPP (constant 2011 international $)",NA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",NA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",NA,"Population ages 15-64 (% of total population)",68.64660589,"Population ages 65 and above (% of total population)",13.55094714,NA,"Aruba","Hospital beds (per 1,000 people)",NA,NA,NA,NA,"ABW",1.297575,NA,NA,NA,NA,NA,NA,NA,"LATIN AMER. & CARIB    ",71891,193,372.5,35.49,0,5.89,28000,97,516.1,10.53,0,89.47,2,11.03,6.68,0.004,0.333,0.663,NA,"01/07/2010",NA,NA,NA,NA,NA,NA,NA,"Aruba","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",13,2.958734265,1.379279698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,64,0,2.78198940062038e-05,0.00139099470031019,-10.4897591814617,NA,NA
"9","BA","Bosnia and Herzegovina","","","2020-04-26",-66,-34,-10,-49,-40,9,-39.8,2020-04-26,"Bosnia & Herzegovina","",2020-03-11,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Bosnia_and_Herzegovina","Yes",2020-03-06,2020-03-22,1588,62,0,18,49,23,7,NA,NA,2.832635983,NA,4,8.40983606557377,7.25,9.68965517241379,2.43965517241379,78.3606557377049,78.78125,77.8965517241379,-0.884698275862064,"BIH","GDP per capita, PPP (constant 2011 international $)",12711.83977,"Unemployment, total (% of total labor force) (modeled ILO estimate)",18.42499924,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1.8,"Population ages 15-64 (% of total population)",68.76346488,"Population ages 65 and above (% of total population)",16.47031747,9.45028910351156,"Bosnia and Herzegovina","Hospital beds (per 1,000 people)",3.5,NA,NA,NA,"BIH",-0.2332111,"BIH",-0.24725771,-0.12563907,0.096462861,0.42935491,-0.11530996,-0.19310626,"EASTERN EUROPE                     ",4498976,51129,88,0.04,0.31,21.05,6100,NA,215.4,13.6,2.96,83.44,4,8.77,8.27,0.142,0.308,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bosnia and Herzegovi","Bosnia and Herzegovina",-1.173635854,42.1,64,5741.76,2.53633299,1.101,33.1,13,NA,"Europe",23,-1.395926323,2.033391939,NA,-1.433133442,-0.265277509,-2.600989376,2.053871464,-1.097021205,-0.301311369,-1.892731041,1.203455524,-0.50671211,-0.551941441,0.558985991,-0.74459643,-0.203556176,0,1,0,0,0,0,0.034074074,675,23,1.37809137012511e-05,0.000352969208993335,-11.1922259882452,0,NA
"10","BB","Barbados","","","2020-04-26",-76,-57,-73,-85,-59,17,-70,2020-04-26,"Barbados","",2020-03-28,"Full","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Barbados","Yes",2020-03-18,2020-04-06,80,6,0,1,66,11,-8,NA,NA,NA,NA,NA,26.9016393442623,26.875,26.9310344827586,0.0560344827586192,74.983606557377,75.6875,74.2068965517241,-1.48060344827586,"BRB","GDP per capita, PPP (constant 2011 international $)",16463.51743,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10.33100033,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",13,"Population ages 15-64 (% of total population)",66.85435789,"Population ages 65 and above (% of total population)",15.80269396,9.70890214702716,"Barbados","Hospital beds (per 1,000 people)",6.2,NA,NA,NA,"BRB",0.3949094,NA,NA,NA,NA,NA,NA,NA,"LATIN AMER. & CARIB    ",279912,431,649.5,22.51,-0.31,12.5,15700,97.4,481.9,37.21,2.33,60.46,2,12.71,8.67,0.06,0.16,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barbados","Barbados",NA,NA,668,18069.38,NA,1.6401,NA,NA,NA,"North America",18,0.91110576,1.489205925,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.094442994,NA,NA,NA,1.339102692,0,0,0,0,0,1,0.017857143,56,1,2.14353082397325e-05,0.0002858041098631,-10.7504710778109,0,NA
